4,"select a.*, t.objid as matched_id, s.z, s.zErr from #tmp t JOIN MYDB.WiseSecondSearch a ON t.up_id = a.search_id JOIN specobj s ON s.bestobjid = t.objid"
2019-06-14 17:36:00,1
2019-06-14 17:37:00,2
2019-06-14 17:39:00,1
