4,"select TOP # p.objid, p.ra, p.dec, p.nuv_mag, p.nuv_magerr, p.fuv_mag, p.fuv_magerr, nuv_weight, nuv_artifact into mydb.MyTable_# from GalexGR6.PhotoObjAll as p where p.ra> = # and p.dec> #"
2019-11-06 14:06:00,2
2019-11-06 15:22:00,1
2019-11-06 15:38:00,1
