3309,select objid from star where star.dec between # and # and star.ra between # and # and star.err_g between .# and .# and star.err_r between # and .#
2019-02-27 10:46:00,20
2019-02-27 10:47:00,28
2019-02-27 10:48:00,6
2019-02-28 03:55:00,9
2019-02-28 03:56:00,12
2019-03-07 23:09:00,187
2019-03-07 23:10:00,1
2019-03-07 23:28:00,17
2019-03-07 23:29:00,141
2019-03-07 23:30:00,106
2019-03-07 23:53:00,2
2019-03-08 00:02:00,249
2019-03-08 00:03:00,218
2019-03-08 00:04:00,341
2019-03-08 00:05:00,235
2019-03-08 00:06:00,160
2019-03-08 00:07:00,156
2019-03-08 00:08:00,81
2019-03-08 00:09:00,15
2019-03-08 00:10:00,78
2019-03-08 04:00:00,160
2019-03-08 04:01:00,133
2019-03-08 04:02:00,14
2019-03-08 04:10:00,66
2019-03-08 04:11:00,27
2019-03-11 02:33:00,23
2019-03-11 02:34:00,31
2019-03-11 02:35:00,10
2019-03-11 02:36:00,1
2019-03-14 03:07:00,63
2019-03-14 03:09:00,582
2019-03-14 03:10:00,5
2019-03-14 03:11:00,4
2019-03-14 09:49:00,44
2019-03-14 09:50:00,25
2019-03-14 13:50:00,59
