3,"SELECT ra, dec, u, g, r, i, z FROM Star WHERE ra BETWEEN # - #/# AND # + #/# AND dec BETWEEN # - #/# AND # + #/#"
2019-10-07 15:00:00,2
2019-10-07 17:54:00,1
