8,"SELECT TOP # objid, ra, dec, u, g, r, i, z FROM Star WHERE r BETWEEN # AND # AND ra BETWEEN # AND # AND dec BETWEEN # and #"
2019-04-11 20:49:00,2
2019-04-11 21:19:00,1
2019-04-11 21:21:00,1
2019-04-11 21:24:00,1
2019-04-16 20:45:00,1
2019-04-16 20:46:00,1
2019-04-16 20:48:00,1
