1204,"SELECT TOP # objID, ra , dec FROM PhotoPrimary WHERE ra > # and ra < # AND dec > # and dec < #"
2019-01-01 08:50:00,1
2019-01-01 11:07:00,1
2019-01-02 00:15:00,1
2019-01-02 00:46:00,1
2019-01-02 00:50:00,1
2019-01-03 06:30:00,1
2019-01-03 11:07:00,1
2019-01-03 13:25:00,1
2019-01-05 03:54:00,1
2019-01-05 06:49:00,1
2019-01-05 11:18:00,1
2019-01-06 12:39:00,1
2019-01-07 00:07:00,1
2019-01-07 23:29:00,1
2019-01-07 23:47:00,1
2019-01-08 02:57:00,1
2019-01-08 03:27:00,1
2019-01-08 04:17:00,1
2019-01-08 05:19:00,1
2019-01-08 06:25:00,1
2019-01-08 07:26:00,1
2019-01-08 08:39:00,1
2019-01-08 10:29:00,1
2019-01-08 15:51:00,1
2019-01-08 22:36:00,1
2019-01-08 22:43:00,2
2019-01-08 22:45:00,1
2019-01-08 22:48:00,1
2019-01-09 13:58:00,1
2019-01-10 02:09:00,1
2019-01-10 21:54:00,1
2019-01-11 04:40:00,1
2019-01-12 03:05:00,1
2019-01-12 09:21:00,1
2019-01-12 21:58:00,1
2019-01-13 08:28:00,1
2019-01-13 09:05:00,1
2019-01-14 08:37:00,1
2019-01-14 11:09:00,1
2019-01-15 10:24:00,1
2019-01-16 00:10:00,1
2019-01-16 08:17:00,2
2019-01-17 04:24:00,1
2019-01-17 18:34:00,1
2019-01-17 18:45:00,1
2019-01-17 21:57:00,2
2019-01-17 23:15:00,1
2019-01-19 04:03:00,1
2019-01-19 21:08:00,1
2019-01-19 21:09:00,1
2019-01-20 07:03:00,1
2019-01-20 18:18:00,1
2019-01-21 00:31:00,1
2019-01-21 00:32:00,1
2019-01-22 08:10:00,1
2019-01-22 08:24:00,1
2019-01-22 09:47:00,1
2019-01-22 11:03:00,1
2019-01-23 23:25:00,1
2019-01-24 12:29:00,1
2019-01-24 16:44:00,1
2019-01-24 16:45:00,1
2019-01-24 16:48:00,1
2019-01-25 11:08:00,1
2019-01-25 12:38:00,1
2019-01-25 15:55:00,1
2019-01-26 10:28:00,1
2019-01-26 17:44:00,1
2019-01-26 21:31:00,1
2019-01-27 09:34:00,1
2019-01-27 10:47:00,1
2019-01-27 21:28:00,1
2019-01-28 12:58:00,1
2019-01-28 13:49:00,1
2019-01-29 00:37:00,1
2019-01-29 02:04:00,1
2019-01-29 22:12:00,1
2019-01-30 09:28:00,1
2019-01-30 09:56:00,1
2019-01-30 15:30:00,2
2019-01-30 21:00:00,1
2019-02-01 07:17:00,1
2019-02-01 14:04:00,1
2019-02-01 21:07:00,1
2019-02-02 07:30:00,1
2019-02-02 10:08:00,1
2019-02-02 14:21:00,1
2019-02-04 13:38:00,1
2019-02-04 14:10:00,1
2019-02-04 14:39:00,1
2019-02-04 18:43:00,1
2019-02-04 18:45:00,1
2019-02-06 14:30:00,2
2019-02-06 20:32:00,1
2019-02-07 08:01:00,1
2019-02-07 18:52:00,1
2019-02-08 01:31:00,1
2019-02-08 04:16:00,1
2019-02-08 08:21:00,2
2019-02-08 08:59:00,1
2019-02-08 09:01:00,1
2019-02-08 16:47:00,1
2019-02-08 18:09:00,1
2019-02-08 22:13:00,1
2019-02-08 22:32:00,1
2019-02-08 23:23:00,1
2019-02-09 08:27:00,1
2019-02-09 08:28:00,1
2019-02-09 08:29:00,1
2019-02-09 17:31:00,1
2019-02-09 18:11:00,1
2019-02-10 02:05:00,1
2019-02-10 05:48:00,1
2019-02-10 09:41:00,1
2019-02-10 21:42:00,1
2019-02-11 04:44:00,1
2019-02-11 07:26:00,1
2019-02-11 11:11:00,1
2019-02-11 12:47:00,1
2019-02-11 14:27:00,1
2019-02-11 18:55:00,1
2019-02-11 20:12:00,1
2019-02-11 21:29:00,1
2019-02-11 22:28:00,1
2019-02-12 03:06:00,1
2019-02-12 15:07:00,1
2019-02-12 15:23:00,1
2019-02-12 18:40:00,1
2019-02-12 18:55:00,1
2019-02-12 19:42:00,1
2019-02-13 12:14:00,1
2019-02-14 10:59:00,1
2019-02-14 12:04:00,1
2019-02-14 12:08:00,1
2019-02-14 12:30:00,1
2019-02-15 17:09:00,1
2019-02-15 18:34:00,1
2019-02-17 08:54:00,1
2019-02-17 12:36:00,1
2019-02-17 16:28:00,1
2019-02-18 00:31:00,1
2019-02-18 03:04:00,1
2019-02-18 15:21:00,2
2019-02-18 16:47:00,1
2019-02-18 23:14:00,1
2019-02-19 07:01:00,1
2019-02-20 01:47:00,1
2019-02-21 11:17:00,1
2019-02-21 12:54:00,1
2019-02-21 13:06:00,1
2019-02-21 13:50:00,1
2019-02-22 10:22:00,1
2019-02-22 10:24:00,1
2019-02-24 11:50:00,1
2019-02-24 21:43:00,1
2019-02-25 17:56:00,1
2019-02-26 01:17:00,1
2019-02-26 18:48:00,1
2019-02-27 09:51:00,1
2019-02-27 11:04:00,1
2019-02-27 19:46:00,1
2019-02-27 22:21:00,1
2019-02-28 01:15:00,1
2019-02-28 01:39:00,1
2019-02-28 03:29:00,1
2019-02-28 07:54:00,1
2019-02-28 17:42:00,1
2019-03-01 00:43:00,1
2019-03-01 01:04:00,1
2019-03-01 01:35:00,1
2019-03-01 02:59:00,1
2019-03-01 10:05:00,1
2019-03-01 12:54:00,1
2019-03-01 17:34:00,1
2019-03-01 18:08:00,1
2019-03-01 21:10:00,1
2019-03-01 22:29:00,1
2019-03-02 02:04:00,1
2019-03-02 12:41:00,1
2019-03-02 17:38:00,1
2019-03-02 22:35:00,1
2019-03-03 02:15:00,1
2019-03-03 19:00:00,1
2019-03-04 14:24:00,2
2019-03-04 22:44:00,1
2019-03-05 07:25:00,1
2019-03-05 08:52:00,1
2019-03-05 13:53:00,1
2019-03-06 13:43:00,1
2019-03-06 15:34:00,1
2019-03-06 18:49:00,1
2019-03-06 20:47:00,1
2019-03-06 22:56:00,1
2019-03-07 04:13:00,1
2019-03-07 10:51:00,1
2019-03-07 21:36:00,1
2019-03-08 02:40:00,1
2019-03-08 04:12:00,1
2019-03-08 11:07:00,1
2019-03-08 12:32:00,1
2019-03-08 14:24:00,1
2019-03-08 20:26:00,1
2019-03-08 22:23:00,1
2019-03-09 01:55:00,1
2019-03-09 02:02:00,1
2019-03-09 09:29:00,1
2019-03-09 11:13:00,1
2019-03-09 14:53:00,1
2019-03-09 22:50:00,1
2019-03-09 23:05:00,1
2019-03-09 23:11:00,3
2019-03-09 23:12:00,1
2019-03-09 23:18:00,1
2019-03-10 01:43:00,1
2019-03-10 08:59:00,1
2019-03-10 18:10:00,1
2019-03-10 18:52:00,1
2019-03-11 02:05:00,1
2019-03-11 07:49:00,1
2019-03-11 16:41:00,1
2019-03-12 02:07:00,1
2019-03-12 21:03:00,1
2019-03-12 23:11:00,1
2019-03-12 23:29:00,1
2019-03-13 02:44:00,1
2019-03-14 10:12:00,1
2019-03-15 01:28:00,1
2019-03-15 02:40:00,1
2019-03-15 03:24:00,1
2019-03-15 17:19:00,1
2019-03-16 07:39:00,1
2019-03-16 11:08:00,1
2019-03-17 21:49:00,1
2019-03-19 06:04:00,1
2019-03-19 13:40:00,2
2019-03-19 17:27:00,1
2019-03-20 12:58:00,1
2019-03-20 20:57:00,1
2019-03-20 21:00:00,1
2019-03-21 16:38:00,1
2019-03-21 17:26:00,1
2019-03-22 12:30:00,1
2019-03-23 21:38:00,1
2019-03-24 13:26:00,1
2019-03-25 01:22:00,1
2019-03-25 04:51:00,1
2019-03-25 05:02:00,1
2019-03-25 09:27:00,1
2019-03-25 17:06:00,1
2019-03-26 04:18:00,1
2019-03-26 08:49:00,1
2019-03-26 09:49:00,1
2019-03-26 20:25:00,1
2019-03-26 20:44:00,2
2019-03-26 20:46:00,1
2019-03-26 20:55:00,1
2019-03-26 21:03:00,1
2019-03-26 21:04:00,4
2019-03-26 21:05:00,1
2019-03-27 00:37:00,1
2019-03-27 04:49:00,1
2019-03-27 18:00:00,1
2019-03-27 18:39:00,1
2019-03-27 19:38:00,2
2019-03-28 12:35:00,1
2019-03-28 16:12:00,1
2019-03-28 17:50:00,1
2019-03-28 18:51:00,1
2019-03-28 19:54:00,1
2019-03-28 20:52:00,1
2019-03-28 20:53:00,1
2019-03-28 22:13:00,1
2019-03-28 23:42:00,1
2019-03-29 18:30:00,1
2019-03-29 23:52:00,1
2019-03-30 02:50:00,1
2019-03-30 08:51:00,1
2019-03-30 08:56:00,1
2019-03-31 12:43:00,1
2019-03-31 20:05:00,1
2019-04-01 06:21:00,1
2019-04-01 09:19:00,1
2019-04-01 09:53:00,1
2019-04-01 14:50:00,1
2019-04-01 16:00:00,1
2019-04-01 18:22:00,1
2019-04-01 19:15:00,1
2019-04-01 20:22:00,1
2019-04-01 22:15:00,1
2019-04-02 05:30:00,1
2019-04-02 09:57:00,1
2019-04-04 12:18:00,1
2019-04-04 12:46:00,1
2019-04-04 19:32:00,1
2019-04-05 01:46:00,1
2019-04-05 12:13:00,1
2019-04-05 19:05:00,1
2019-04-05 23:38:00,1
2019-04-06 04:21:00,1
2019-04-06 10:38:00,1
2019-04-07 14:36:00,1
2019-04-07 14:39:00,1
2019-04-08 04:02:00,1
2019-04-08 15:31:00,1
2019-04-08 18:46:00,1
2019-04-08 21:10:00,1
2019-04-09 12:23:00,1
2019-04-09 19:20:00,1
2019-04-09 21:13:00,1
2019-04-09 21:19:00,1
2019-04-09 21:20:00,1
2019-04-10 00:35:00,1
2019-04-10 08:19:00,1
2019-04-10 14:54:00,2
2019-04-10 21:39:00,1
2019-04-13 02:14:00,1
2019-04-13 14:43:00,1
2019-04-14 11:46:00,1
2019-04-14 14:31:00,1
2019-04-15 12:09:00,1
2019-04-15 21:49:00,1
2019-04-16 06:52:00,1
2019-04-16 12:08:00,1
2019-04-16 14:54:00,1
2019-04-16 18:40:00,1
2019-04-17 08:46:00,1
2019-04-17 08:50:00,1
2019-04-17 08:51:00,1
2019-04-18 05:34:00,1
2019-04-18 08:48:00,1
2019-04-18 09:05:00,1
2019-04-18 11:11:00,1
2019-04-18 14:03:00,1
2019-04-18 21:09:00,1
2019-04-18 21:53:00,1
2019-04-18 22:33:00,1
2019-04-19 00:34:00,1
2019-04-19 01:36:00,1
2019-04-19 09:56:00,1
2019-04-19 19:05:00,1
2019-04-20 20:30:00,1
2019-04-22 08:52:00,1
2019-04-22 13:45:00,1
2019-04-22 22:16:00,1
2019-04-23 23:15:00,1
2019-04-24 11:12:00,1
2019-04-24 11:40:00,1
2019-04-24 11:41:00,2
2019-04-24 11:42:00,8
2019-04-24 11:43:00,4
2019-04-24 11:44:00,8
2019-04-24 11:45:00,2
2019-04-24 11:46:00,1
2019-04-24 11:47:00,1
2019-04-24 11:49:00,1
2019-04-26 08:08:00,1
2019-04-26 08:40:00,1
2019-04-27 04:34:00,1
2019-04-27 06:35:00,1
2019-04-27 06:42:00,1
2019-04-28 02:46:00,1
2019-04-28 03:03:00,1
2019-04-28 05:50:00,1
2019-04-28 09:10:00,1
2019-04-28 13:23:00,1
2019-04-28 18:46:00,1
2019-04-29 22:16:00,1
2019-04-30 09:29:00,1
2019-04-30 09:47:00,1
2019-04-30 22:10:00,1
2019-04-30 23:11:00,1
2019-05-01 03:02:00,1
2019-05-01 08:04:00,1
2019-05-01 12:15:00,1
2019-05-01 14:45:00,1
2019-05-02 10:56:00,1
2019-05-02 17:37:00,1
2019-05-03 04:40:00,1
2019-05-03 14:45:00,1
2019-05-03 17:25:00,1
2019-05-03 23:23:00,1
2019-05-04 11:37:00,1
2019-05-04 22:27:00,1
2019-05-06 07:05:00,1
2019-05-06 07:59:00,1
2019-05-06 09:04:00,1
2019-05-06 14:47:00,1
2019-05-10 12:35:00,1
2019-05-10 16:22:00,1
2019-05-10 21:14:00,1
2019-05-11 05:14:00,1
2019-05-11 06:43:00,1
2019-05-11 23:26:00,1
2019-05-12 20:04:00,1
2019-05-13 02:29:00,1
2019-05-13 08:33:00,1
2019-05-13 14:10:00,3
2019-05-13 17:06:00,1
2019-05-13 22:19:00,1
2019-05-14 04:19:00,1
2019-05-14 07:33:00,1
2019-05-14 19:38:00,1
2019-05-15 01:39:00,1
2019-05-15 22:18:00,1
2019-05-15 23:55:00,1
2019-05-16 00:40:00,1
2019-05-17 03:52:00,1
2019-05-17 04:15:00,1
2019-05-17 04:28:00,1
2019-05-17 14:09:00,1
2019-05-17 18:29:00,1
2019-05-18 20:32:00,1
2019-05-18 21:20:00,1
2019-05-18 21:57:00,1
2019-05-19 10:20:00,1
2019-05-20 01:21:00,1
2019-05-20 17:13:00,1
2019-05-20 18:31:00,1
2019-05-21 02:31:00,1
2019-05-21 02:33:00,1
2019-05-21 03:21:00,1
2019-05-21 09:31:00,1
2019-05-21 10:10:00,1
2019-05-22 00:23:00,1
2019-05-22 09:59:00,1
2019-05-22 14:52:00,1
2019-05-23 04:24:00,1
2019-05-23 06:22:00,1
2019-05-23 09:58:00,1
2019-05-23 12:19:00,1
2019-05-23 13:29:00,1
2019-05-23 16:54:00,1
2019-05-24 02:11:00,1
2019-05-24 08:54:00,1
2019-05-24 13:28:00,1
2019-05-24 17:25:00,1
2019-05-24 19:05:00,1
2019-05-24 19:48:00,1
2019-05-24 20:21:00,1
2019-05-24 21:36:00,1
2019-05-24 23:56:00,1
2019-05-25 02:28:00,1
2019-05-26 22:41:00,1
2019-05-27 12:06:00,1
2019-05-28 16:40:00,1
2019-05-28 20:35:00,1
2019-05-29 03:54:00,1
2019-05-29 12:05:00,1
2019-05-30 02:43:00,1
2019-05-30 06:36:00,1
2019-05-30 06:51:00,1
2019-05-30 16:02:00,1
2019-05-30 21:08:00,1
2019-05-31 01:14:00,1
2019-05-31 07:34:00,1
2019-05-31 15:28:00,1
2019-05-31 15:30:00,1
2019-05-31 15:33:00,1
2019-05-31 15:38:00,1
2019-05-31 23:57:00,1
2019-06-01 01:11:00,1
2019-06-02 06:51:00,1
2019-06-03 03:17:00,1
2019-06-03 09:20:00,1
2019-06-04 01:36:00,1
2019-06-04 08:08:00,1
2019-06-05 17:39:00,1
2019-06-06 07:22:00,1
2019-06-07 14:19:00,1
2019-06-08 05:16:00,7
2019-06-08 05:17:00,8
2019-06-08 05:18:00,2
2019-06-08 23:17:00,1
2019-06-09 13:56:00,1
2019-06-10 21:02:00,1
2019-06-10 21:19:00,1
2019-06-11 00:04:00,1
2019-06-11 01:03:00,1
2019-06-11 02:03:00,1
2019-06-11 14:54:00,1
2019-06-11 16:16:00,1
2019-06-11 20:42:00,1
