23,SELECT * FROM blueberry
2019-02-12 00:53:00,1
2019-02-12 00:55:00,1
2019-02-12 00:56:00,2
2019-02-14 01:55:00,1
2019-02-14 02:02:00,1
2019-02-14 02:03:00,1
2019-02-17 00:12:00,1
2019-02-17 00:13:00,1
2019-02-17 00:14:00,1
2019-02-17 00:19:00,1
2019-02-17 00:20:00,1
2019-02-17 00:22:00,1
2019-02-17 00:30:00,1
2019-02-17 00:40:00,1
2019-02-17 01:18:00,1
2019-02-17 01:19:00,1
2019-02-17 01:27:00,1
2019-02-17 01:39:00,1
2019-02-17 03:53:00,1
2019-02-17 03:54:00,1
2019-02-22 10:27:00,1
2019-02-25 11:20:00,1
