751,"SELECT TOP # objId, z, zErr, absMagR FROM Photoz WHERE z BETWEEN # and # and photoErrorClass = # and nnCount> # and zErr BETWEEN # and #"
2019-01-01 10:00:00,1
2019-01-01 11:09:00,1
2019-01-02 00:19:00,1
2019-01-02 00:49:00,1
2019-01-02 01:52:00,1
2019-01-03 11:15:00,1
2019-01-03 17:42:00,1
2019-01-05 18:00:00,1
2019-01-06 10:10:00,1
2019-01-06 11:32:00,1
2019-01-06 12:41:00,1
2019-01-07 00:11:00,1
2019-01-08 02:02:00,1
2019-01-08 03:30:00,1
2019-01-08 03:50:00,1
2019-01-08 06:27:00,1
2019-01-08 06:52:00,1
2019-01-08 07:28:00,1
2019-01-08 17:17:00,1
2019-01-09 20:02:00,1
2019-01-09 20:06:00,2
2019-01-09 20:07:00,1
2019-01-10 02:35:00,1
2019-01-10 13:18:00,2
2019-01-10 16:40:00,1
2019-01-11 04:44:00,1
2019-01-12 03:17:00,1
2019-01-12 09:23:00,1
2019-01-13 08:31:00,1
2019-01-13 09:11:00,1
2019-01-14 11:40:00,1
2019-01-17 20:44:00,1
2019-01-17 23:35:00,1
2019-01-18 20:11:00,1
2019-01-19 01:50:00,1
2019-01-19 20:42:00,1
2019-01-20 07:59:00,1
2019-01-20 21:16:00,1
2019-01-21 05:31:00,1
2019-01-22 08:28:00,1
2019-01-22 15:14:00,1
2019-01-22 21:13:00,1
2019-01-22 21:58:00,1
2019-01-23 09:20:00,1
2019-01-23 23:27:00,1
2019-01-24 13:44:00,1
2019-01-25 15:58:00,1
2019-01-26 22:21:00,1
2019-01-27 16:22:00,1
2019-01-27 22:41:00,1
2019-01-28 05:55:00,1
2019-01-28 16:03:00,1
2019-01-28 16:08:00,1
2019-01-29 03:45:00,1
2019-01-29 17:45:00,1
2019-01-30 09:31:00,1
2019-01-30 18:14:00,3
2019-01-31 00:37:00,1
2019-02-01 06:33:00,1
2019-02-01 11:47:00,1
2019-02-01 23:23:00,1
2019-02-02 12:52:00,1
2019-02-02 15:41:00,1
2019-02-04 13:40:00,1
2019-02-04 14:12:00,1
2019-02-04 14:42:00,1
2019-02-07 22:27:00,1
2019-02-08 01:32:00,1
2019-02-08 18:13:00,1
2019-02-08 22:19:00,1
2019-02-09 17:35:00,1
2019-02-09 18:17:00,1
2019-02-10 05:54:00,1
2019-02-10 09:44:00,1
2019-02-11 04:48:00,1
2019-02-11 11:15:00,1
2019-02-12 17:24:00,1
2019-02-12 19:46:00,1
2019-02-12 19:54:00,1
2019-02-13 14:31:00,1
2019-02-13 18:54:00,1
2019-02-14 12:12:00,1
2019-02-14 12:36:00,1
2019-02-14 14:27:00,1
2019-02-14 18:51:00,1
2019-02-16 04:45:00,1
2019-02-17 09:26:00,1
2019-02-18 03:07:00,1
2019-02-19 19:02:00,1
2019-02-20 16:26:00,1
2019-02-20 19:01:00,1
2019-02-20 20:48:00,1
2019-02-21 01:42:00,1
2019-02-21 03:04:00,1
2019-02-21 03:05:00,1
2019-02-21 18:03:00,1
2019-02-22 06:33:00,1
2019-02-24 00:00:00,1
2019-02-24 11:53:00,1
2019-02-24 16:30:00,1
2019-02-25 05:57:00,1
2019-02-26 00:21:00,1
2019-02-26 02:53:00,1
2019-02-26 10:18:00,1
2019-02-27 19:51:00,1
2019-02-27 22:31:00,1
2019-02-28 03:35:00,1
2019-02-28 06:56:00,1
2019-02-28 08:54:00,1
2019-02-28 15:20:00,1
2019-03-01 02:28:00,1
2019-03-01 10:21:00,1
2019-03-01 12:59:00,1
2019-03-01 22:35:00,1
2019-03-02 02:09:00,1
2019-03-02 13:24:00,1
2019-03-02 21:15:00,1
2019-03-02 22:41:00,1
2019-03-03 04:24:00,1
2019-03-03 08:47:00,1
2019-03-04 13:34:00,1
2019-03-05 06:31:00,1
2019-03-05 07:34:00,1
2019-03-05 08:54:00,1
2019-03-05 16:55:00,1
2019-03-06 15:20:00,1
2019-03-06 16:24:00,1
2019-03-07 10:00:00,1
2019-03-07 14:06:00,1
2019-03-08 19:47:00,1
2019-03-08 21:55:00,1
2019-03-09 00:47:00,1
2019-03-09 06:35:00,1
2019-03-09 12:05:00,1
2019-03-09 19:02:00,1
2019-03-10 18:12:00,1
2019-03-11 11:02:00,1
2019-03-11 20:53:00,1
2019-03-12 01:09:00,1
2019-03-13 07:45:00,1
2019-03-13 09:07:00,1
2019-03-13 22:54:00,1
2019-03-14 14:25:00,1
2019-03-15 01:33:00,1
2019-03-15 19:17:00,1
2019-03-16 16:40:00,1
2019-03-18 16:38:00,1
2019-03-18 19:10:00,1
2019-03-19 05:56:00,1
2019-03-19 16:20:00,1
2019-03-19 16:24:00,13
2019-03-20 15:18:00,1
2019-03-22 00:34:00,1
2019-03-22 13:10:00,1
2019-03-22 15:57:00,1
2019-03-25 02:21:00,1
2019-03-25 06:47:00,1
2019-03-25 12:29:00,1
2019-03-26 11:08:00,1
2019-03-26 11:25:00,1
2019-03-26 19:55:00,1
2019-03-26 20:30:00,1
2019-03-26 20:58:00,1
2019-03-27 19:40:00,1
2019-03-28 16:15:00,1
2019-03-28 17:44:00,1
2019-03-28 19:59:00,1
2019-03-30 07:39:00,1
2019-03-31 07:07:00,1
2019-03-31 17:49:00,1
2019-04-01 06:24:00,1
2019-04-01 18:26:00,1
2019-04-01 22:19:00,1
2019-04-02 00:34:00,1
2019-04-02 06:00:00,1
2019-04-02 06:35:00,1
2019-04-02 12:16:00,1
2019-04-04 13:42:00,1
2019-04-04 19:46:00,1
2019-04-05 00:14:00,1
2019-04-06 07:27:00,1
2019-04-06 23:36:00,1
2019-04-07 09:15:00,1
2019-04-07 14:59:00,1
2019-04-07 16:50:00,1
2019-04-07 17:03:00,1
2019-04-07 19:23:00,1
2019-04-08 06:23:00,1
2019-04-08 15:37:00,1
2019-04-08 18:50:00,1
2019-04-09 01:57:00,1
2019-04-09 12:28:00,1
2019-04-09 20:20:00,1
2019-04-09 20:22:00,2
2019-04-09 21:17:00,1
2019-04-09 21:21:00,1
2019-04-09 21:23:00,1
2019-04-10 00:37:00,1
2019-04-10 08:03:00,1
2019-04-10 08:07:00,1
2019-04-10 11:59:00,1
2019-04-11 02:33:00,2
2019-04-11 21:27:00,1
2019-04-11 21:34:00,1
2019-04-11 21:55:00,1
2019-04-11 21:56:00,2
2019-04-13 15:09:00,1
2019-04-14 12:59:00,1
2019-04-15 08:07:00,1
2019-04-15 14:34:00,1
2019-04-16 00:23:00,1
2019-04-16 18:45:00,1
2019-04-17 20:09:00,1
2019-04-18 05:51:00,1
2019-04-18 10:07:00,2
2019-04-18 16:14:00,1
2019-04-18 21:56:00,1
2019-04-18 23:35:00,1
2019-04-19 01:41:00,1
2019-04-19 10:02:00,1
2019-04-19 19:07:00,1
2019-04-22 11:50:00,1
2019-04-22 14:54:00,1
2019-04-22 23:33:00,1
2019-04-23 08:18:00,1
2019-04-24 02:03:00,1
2019-04-25 18:15:00,2
2019-04-26 11:51:00,1
2019-04-26 12:57:00,1
2019-04-27 08:56:00,1
2019-04-28 03:50:00,1
2019-04-28 10:14:00,1
2019-04-28 11:18:00,1
2019-04-28 13:39:00,1
2019-04-29 03:36:00,1
2019-04-29 05:30:00,1
2019-04-29 18:05:00,1
2019-04-30 00:27:00,1
2019-04-30 11:46:00,1
2019-04-30 17:23:00,1
2019-04-30 22:38:00,1
2019-05-01 00:53:00,1
2019-05-01 15:03:00,1
2019-05-02 11:19:00,1
2019-05-02 22:32:00,1
2019-05-03 04:43:00,1
2019-05-03 14:48:00,1
2019-05-03 15:41:00,1
2019-05-03 17:27:00,1
2019-05-04 00:19:00,1
2019-05-04 14:10:00,1
2019-05-06 17:08:00,1
2019-05-07 06:00:00,1
2019-05-07 16:49:00,1
2019-05-08 10:13:00,1
2019-05-09 19:58:00,1
2019-05-10 06:02:00,1
2019-05-10 16:25:00,1
2019-05-10 19:17:00,1
2019-05-13 09:00:00,1
2019-05-13 09:53:00,1
2019-05-14 00:42:00,1
2019-05-14 08:29:00,1
2019-05-15 23:58:00,1
2019-05-16 00:42:00,1
2019-05-16 21:49:00,1
2019-05-17 04:56:00,1
2019-05-17 05:08:00,1
2019-05-17 08:03:00,1
2019-05-18 20:35:00,1
2019-05-18 21:23:00,1
2019-05-18 22:02:00,1
2019-05-20 00:28:00,1
2019-05-21 05:19:00,1
2019-05-21 06:52:00,1
2019-05-21 10:56:00,1
2019-05-21 12:21:00,1
2019-05-23 04:25:00,1
2019-05-23 08:56:00,1
2019-05-23 10:01:00,1
2019-05-23 13:34:00,1
2019-05-23 18:20:00,1
2019-05-24 02:15:00,1
2019-05-24 05:07:00,1
2019-05-24 08:57:00,1
2019-05-24 13:32:00,1
2019-05-24 22:13:00,1
2019-05-24 22:57:00,1
2019-05-25 00:01:00,1
2019-05-25 07:24:00,1
2019-05-27 12:37:00,1
2019-05-27 22:15:00,1
2019-05-29 02:39:00,1
2019-05-29 02:58:00,1
2019-05-30 04:14:00,1
2019-05-30 05:53:00,1
2019-05-30 23:23:00,1
2019-05-31 03:26:00,1
2019-05-31 17:56:00,1
2019-06-01 10:37:00,1
2019-06-02 06:15:00,1
2019-06-03 19:15:00,1
2019-06-04 14:06:00,1
2019-06-04 18:05:00,1
2019-06-07 22:58:00,1
2019-06-10 16:33:00,1
2019-06-10 21:05:00,1
2019-06-10 21:22:00,1
2019-06-11 16:45:00,1
