2,"SELECT TOP # p.objid, p.g, p.r, s.specobjid, s.class, s.z as redshift, photoz.absmagr FROM PhotoObj as p, specobj as s, photoz WHERE s.bestobjid = p.objid and p.objid = photoz.objid and s.z BETWEEN # AND # and p.type = #"
2019-06-20 07:08:00,1
2019-06-20 10:47:00,1
