91,"select top # ra, dec from star"
2019-01-03 22:53:00,1
2019-01-03 22:57:00,1
2019-01-03 22:58:00,1
2019-01-06 15:38:00,1
2019-01-06 15:41:00,1
2019-01-06 15:42:00,1
2019-01-06 15:45:00,1
2019-01-08 22:42:00,1
2019-01-10 16:37:00,1
2019-01-11 00:38:00,1
2019-01-17 22:35:00,1
2019-01-17 22:36:00,1
2019-01-17 22:37:00,3
2019-01-17 22:38:00,2
2019-01-17 22:39:00,1
2019-01-17 22:40:00,3
2019-01-17 22:41:00,6
2019-01-17 22:42:00,2
2019-01-18 13:55:00,1
2019-01-19 13:47:00,1
2019-02-04 06:51:00,2
2019-02-04 06:53:00,1
2019-02-04 06:56:00,1
2019-02-19 15:52:00,1
2019-03-06 17:48:00,1
2019-04-17 08:30:00,1
2019-07-23 16:30:00,1
2019-09-01 18:55:00,1
2019-09-01 18:56:00,1
2019-09-02 12:45:00,1
2019-09-24 12:46:00,1
2019-09-24 12:50:00,1
2019-09-24 12:56:00,1
2019-09-24 14:16:00,2
2019-09-24 14:17:00,2
2019-09-24 14:19:00,1
2019-09-24 14:20:00,2
2019-09-24 14:22:00,1
2019-09-27 01:41:00,1
2019-09-27 01:43:00,1
2019-09-27 01:46:00,1
2019-09-27 01:47:00,1
2019-10-13 07:12:00,1
2019-10-13 07:16:00,1
2019-10-23 19:24:00,1
2019-10-23 19:27:00,1
2019-10-23 19:29:00,1
2019-10-23 19:33:00,1
2019-10-23 19:34:00,1
2019-10-23 19:36:00,2
2019-10-23 19:38:00,1
2019-10-23 19:41:00,1
2019-10-29 16:18:00,1
2019-11-08 20:18:00,1
2019-11-08 20:27:00,1
2019-11-08 20:28:00,1
2019-11-08 20:37:00,1
2019-11-14 18:07:00,1
2019-11-14 18:12:00,1
2019-11-14 18:21:00,1
2019-11-14 18:22:00,1
2019-11-14 18:23:00,1
2019-11-14 21:13:00,1
2019-12-13 03:07:00,1
2019-12-31 03:08:00,2
2019-12-31 03:09:00,1
2019-12-31 03:10:00,1
2019-12-31 03:12:00,1
2019-12-31 03:14:00,1
2019-12-31 03:15:00,1
2019-12-31 03:16:00,1
2019-12-31 03:18:00,2
2019-12-31 03:19:00,1
