17,"SELECT p.run, p.camcol, p.field, count (s.z) as count, avg (s.z) as average FROM photoObj p JOIN specObj s ON s.bestObjID = p.objID WHERE s.class = # and p.run = # and camcol = # GROUP BY p.run, p.camcol, p.field ORDER BY avg (s.z) desc"
2019-01-09 10:26:00,1
2019-01-09 10:27:00,1
2019-06-08 17:48:00,1
2019-06-21 18:41:00,1
2019-07-03 07:33:00,1
2019-07-10 09:27:00,1
2019-07-12 19:30:00,1
2019-08-20 15:27:00,1
2019-09-24 03:46:00,1
2019-09-24 03:47:00,1
2019-11-21 13:51:00,1
2019-11-27 07:42:00,1
2019-11-27 07:46:00,1
2019-11-27 07:51:00,1
2019-11-27 07:53:00,1
2019-12-02 18:25:00,1
2019-12-12 18:49:00,1
