4,"SELECT p.objID, p.ra, p.dec, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.z FROM PhotoObjAll p JOIN SpecObjAll s ON s.specObjID = p.objID JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = p.objID WHERE s.class = # AND s.z BETWEEN # and #"
2019-12-04 04:02:00,2
2019-12-04 04:05:00,2
