48,"SELECT N.objID, ra, dec, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, extinction_r, secTarget FROM Star s, dbo.fGetNearbyObjEq (#, #, #) AS N WHERE s.objId = N.objID and (s.secTarget&#) > # and s.psfMag_r < #"
2019-08-24 19:06:00,1
2019-08-24 22:43:00,1
2019-08-24 22:45:00,1
2019-08-24 22:48:00,1
2019-08-24 23:02:00,1
2019-08-24 23:29:00,1
2019-08-24 23:39:00,1
2019-08-24 23:52:00,1
2019-08-26 13:02:00,1
2019-08-26 15:59:00,1
2019-08-26 17:12:00,1
2019-08-26 17:13:00,1
2019-08-26 18:07:00,1
2019-08-26 19:00:00,1
2019-08-26 19:01:00,1
2019-08-26 23:51:00,1
2019-08-26 23:52:00,1
2019-08-26 23:53:00,1
2019-08-26 23:56:00,1
2019-08-26 23:57:00,1
2019-08-26 23:58:00,1
2019-08-27 01:37:00,1
2019-08-27 12:39:00,1
2019-08-27 12:40:00,2
2019-08-27 12:46:00,1
2019-08-27 12:47:00,1
2019-08-27 20:53:00,2
2019-08-27 21:39:00,1
2019-08-27 21:41:00,1
2019-08-27 21:42:00,1
2019-08-28 02:15:00,1
2019-08-28 02:16:00,1
2019-08-28 02:18:00,1
2019-08-28 02:19:00,1
2019-08-28 02:20:00,1
2019-08-28 02:21:00,1
2019-08-31 21:19:00,1
2019-08-31 21:20:00,1
2019-08-31 22:53:00,1
2019-09-01 15:22:00,1
2019-09-02 15:02:00,1
2019-09-02 19:33:00,1
2019-09-02 21:25:00,1
2019-09-02 21:26:00,1
2019-09-02 21:28:00,2
