18,"select top # p.objid, p.ra, p.dec from star p"
2019-02-08 09:17:00,1
2019-03-05 19:34:00,3
2019-03-26 07:54:00,1
2019-03-26 14:47:00,1
2019-04-02 19:46:00,1
2019-07-13 17:28:00,1
2019-07-13 17:37:00,1
2019-07-13 17:42:00,1
2019-07-13 17:43:00,2
2019-07-13 17:49:00,3
2019-07-13 17:50:00,1
2019-11-19 22:28:00,1
2019-12-09 02:16:00,1
