2,"select psfMag_u, psfMag_g, psfMag_u-psfMag_g as color, ra, dec, type from galaxy where psfMag_u-psfMag_g< # and psfMag_u-psfMag_g> # order by color desc"
2019-09-03 09:11:00,1
2019-09-03 09:15:00,1
