7,"SELECT TOP # p.objid, p.ra, p.dec, p.b, p.l, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # AND # AND s.class = #"
2019-10-12 10:33:00,1
2019-10-12 10:34:00,1
2019-10-12 10:37:00,3
2019-10-12 10:38:00,1
2019-10-12 11:37:00,1
