23,"select ra, dec, z from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-01-19 11:37:00,5
2019-02-04 10:30:00,1
2019-02-05 15:09:00,1
2019-02-21 09:31:00,1
2019-04-15 07:11:00,1
2019-05-07 13:08:00,5
2019-05-23 00:08:00,1
2019-08-11 09:26:00,1
2019-09-24 07:15:00,1
2019-10-16 14:46:00,1
2019-12-04 21:10:00,1
2019-12-11 07:43:00,1
2019-12-14 01:35:00,2
2019-12-18 17:31:00,1
