21,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM BESTDR7..SpecObj as s JOIN BESTDR7..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON p.objID = b.objID WHERE (p.type = # OR p.type = #)"
2019-03-03 11:31:00,2
2019-03-03 12:40:00,2
2019-03-04 14:22:00,1
2019-03-04 14:23:00,1
2019-03-04 14:28:00,3
2019-03-04 14:29:00,1
2019-03-04 14:30:00,1
2019-03-10 07:44:00,1
2019-04-15 22:21:00,1
2019-04-15 22:32:00,1
2019-04-15 22:34:00,2
2019-06-28 13:51:00,1
2019-06-28 13:53:00,1
2019-10-03 20:36:00,2
2019-10-21 19:44:00,1
