4,"SELECT c.ID as ID, c.ra as KRA, c.dec as KDEC, c.Name as name, n.objid, n.distance, o.* INTO mydb.SDSSDR1#_PNe_# FROM mydb.coordinates_PNe as c CROSS APPLY dbo.fGetNearbyObjEq (c.ra, c.dec, #/#.) AS n JOIN PhotoObjAll AS o ON n.objID = o.objID WHERE clean = #"
2019-03-20 10:33:00,2
2019-03-20 10:34:00,1
2019-03-20 10:35:00,1
