2,"SELECT TOP # s.plate, s.mjd, s.fiberid --INTO mydb.DR9MyTable FROM SpecObj as s WHERE s.z BETWEEN # AND #"
2019-04-29 10:34:00,1
2019-04-29 10:35:00,1
