53,"SELECT s.specobjid, s.ra, s.dec, s.z, # + cast (x.objId as varchar (#) ) + #+ cast (x.objId as varchar (#) ) + # as objID, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMagErr_u, p.modelMag_g, p.modelMagErr_g, p.modelMag_r, modelMagErr_r, p.modelMag_i, modelMagErr_i, p.modelMag_z, modelMagErr_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID JOIN SpecObjAll s ON p.objID = s.bestObjID ORDER by x.up_id"
2019-01-10 00:49:00,1
2019-01-10 00:53:00,1
2019-01-10 00:59:00,1
2019-01-10 01:01:00,1
2019-01-10 18:07:00,1
2019-01-10 18:09:00,1
2019-01-10 18:25:00,1
2019-01-10 18:26:00,1
2019-01-10 18:34:00,1
2019-01-10 18:36:00,1
2019-01-10 18:39:00,1
2019-01-10 18:43:00,1
2019-01-10 19:11:00,2
2019-01-10 19:13:00,3
2019-01-10 19:16:00,2
2019-01-10 19:23:00,1
2019-01-10 19:24:00,2
2019-01-10 19:26:00,1
2019-01-10 19:28:00,1
2019-01-10 19:31:00,1
2019-01-10 19:33:00,1
2019-01-10 19:34:00,1
2019-01-10 19:35:00,1
2019-01-10 19:37:00,1
2019-01-10 19:38:00,2
2019-01-10 19:39:00,1
2019-01-10 19:40:00,1
2019-01-10 19:42:00,1
2019-01-10 19:45:00,3
2019-01-10 19:46:00,3
2019-01-10 19:48:00,3
2019-01-10 19:49:00,1
2019-01-10 19:52:00,1
2019-01-10 19:54:00,1
2019-01-10 19:55:00,1
2019-01-10 20:06:00,1
2019-01-10 20:08:00,1
2019-01-10 20:11:00,1
2019-01-10 20:15:00,1
2019-01-10 20:18:00,1
2019-01-14 23:10:00,1
