14,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-08 12:16:00,1
2019-01-08 12:20:00,1
2019-01-08 12:22:00,2
2019-01-08 12:23:00,2
2019-01-08 12:24:00,3
2019-01-08 12:26:00,1
2019-02-18 14:34:00,1
2019-12-20 16:40:00,1
2019-12-20 16:43:00,1
2019-12-20 16:44:00,1
