5344,"select top # p.*, s.z as zspec, s.zErr as zspec_err, s.zWarning, s.class, s.subclass, s.primTarget, s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z, s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z, s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z from Galaxy as p, SpecObj as s where p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-11-12 11:05:00,17
2019-11-12 11:06:00,5
2019-11-12 11:07:00,5
2019-11-12 11:08:00,12
2019-11-12 11:09:00,34
2019-11-12 11:10:00,4
2019-11-12 11:11:00,13
2019-11-12 11:12:00,8
2019-11-12 11:13:00,6
2019-11-12 11:14:00,4
2019-11-12 11:15:00,3
2019-11-12 11:16:00,2
2019-11-12 11:17:00,1
2019-11-12 11:19:00,1
2019-11-12 11:20:00,3
2019-11-12 11:21:00,1
2019-11-12 11:22:00,5
2019-11-12 11:23:00,5
2019-11-12 11:24:00,5
2019-11-12 11:25:00,3
2019-11-12 11:26:00,5
2019-11-12 11:27:00,1
2019-11-12 11:29:00,35
2019-11-12 11:30:00,3
2019-11-12 11:31:00,8
2019-11-12 11:32:00,13
2019-11-12 11:33:00,4
2019-11-12 11:34:00,11
2019-11-12 11:35:00,17
2019-11-12 11:36:00,33
2019-11-12 11:37:00,22
2019-11-12 11:38:00,17
2019-11-12 11:39:00,10
2019-11-12 11:40:00,27
2019-11-12 11:41:00,6
2019-11-12 11:42:00,14
2019-11-12 11:43:00,17
2019-11-12 11:44:00,10
2019-11-12 11:45:00,42
2019-11-12 11:46:00,35
2019-11-12 11:47:00,26
2019-11-12 11:48:00,19
2019-11-12 11:49:00,11
2019-11-12 11:50:00,15
2019-11-12 11:51:00,24
2019-11-12 11:52:00,9
2019-11-12 11:53:00,27
2019-11-12 11:54:00,8
2019-11-12 12:36:00,127
2019-11-12 12:37:00,31
2019-11-12 12:38:00,12
2019-11-12 12:39:00,67
2019-11-12 12:40:00,25
2019-11-12 12:41:00,10
2019-11-12 12:42:00,9
2019-11-12 12:43:00,11
2019-11-12 12:44:00,6
2019-11-12 12:45:00,3
2019-11-12 12:46:00,3
2019-11-12 12:47:00,1
2019-11-12 12:48:00,1
2019-11-12 12:50:00,2
2019-11-12 12:51:00,5
2019-11-12 12:52:00,18
2019-11-12 12:53:00,17
2019-11-12 12:54:00,5
2019-11-12 12:55:00,13
2019-11-12 12:56:00,20
2019-11-12 12:57:00,23
2019-11-12 12:58:00,16
2019-11-12 12:59:00,4
2019-11-12 13:00:00,12
2019-11-12 13:01:00,25
2019-11-12 13:02:00,10
2019-11-12 13:03:00,12
2019-11-12 13:04:00,9
2019-11-12 13:05:00,40
2019-11-12 13:06:00,72
2019-11-12 13:07:00,37
2019-11-12 13:08:00,16
2019-11-12 13:39:00,10
2019-11-12 13:40:00,11
2019-11-12 13:41:00,10
2019-11-12 13:42:00,13
2019-11-12 13:43:00,10
2019-11-12 13:44:00,18
2019-11-12 13:45:00,34
2019-11-12 13:46:00,16
2019-11-12 13:47:00,29
2019-11-12 13:48:00,17
2019-11-12 13:49:00,56
2019-11-12 13:50:00,51
2019-11-12 13:51:00,26
2019-11-12 13:52:00,7
