14,"CREATE TABLE [TRACTS] ([ID] [bigint] NOT # IDENTITY (#, #) PRIMARY KEY, [VINTAGE] [int] NOT #, [STATE] [char] (#) NOT #, [COUNTY] [char] (#) NOT #, [TRACT] [char] (#) NOT #, CONSTRAINT AK_Unique_Tract UNIQUE (VINTAGE, STATE, COUNTY, TRACT) , [GEOM] [geography] #, [CENTROID] [geography] #)"
2019-10-22 08:13:00,1
2019-10-22 13:13:00,1
2019-10-22 13:42:00,2
2019-10-22 13:43:00,1
2019-10-22 13:54:00,1
2019-10-23 09:58:00,1
2019-10-23 12:51:00,1
2019-10-23 12:52:00,1
2019-10-23 13:07:00,1
2019-10-27 13:52:00,1
2019-10-30 04:33:00,1
2019-10-31 02:58:00,1
2019-11-03 06:04:00,1
