120,"SELECT DISTINCT p.ra, p.dec, p.type, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.cModelMag_u, p.cModelMag_g, p.cModelMag_r, p.cModelMag_i, p.cModelMag_z, p.cModelMagErr_u, p.cModelMagErr_g, p.cModelMagErr_r, p.cModelMagErr_i, p.cModelMagErr_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z FROM PhotoObjAll AS p WHERE (p.run = # AND p.camcol = # AND p.field = # AND p.rerun = #)"
2019-03-15 03:44:00,1
2019-03-25 06:36:00,1
2019-03-25 17:17:00,1
2019-03-26 14:49:00,1
2019-03-26 15:02:00,1
2019-03-26 16:06:00,1
2019-03-26 16:25:00,1
2019-03-26 17:14:00,1
2019-03-26 17:30:00,1
2019-03-27 03:24:00,1
2019-03-27 03:45:00,1
2019-03-27 04:38:00,1
2019-03-27 05:52:00,1
2019-03-27 05:59:00,1
2019-03-27 06:10:00,1
2019-03-27 06:28:00,1
2019-03-27 06:44:00,1
2019-03-27 07:02:00,1
2019-03-27 08:40:00,1
2019-03-27 08:50:00,1
2019-03-27 09:17:00,1
2019-03-27 09:34:00,1
2019-03-27 09:41:00,1
2019-03-27 13:10:00,1
2019-03-27 13:51:00,1
2019-03-27 15:09:00,1
2019-03-27 15:15:00,1
2019-03-27 16:02:00,1
2019-03-27 16:14:00,1
2019-03-27 16:29:00,1
2019-03-29 09:46:00,1
2019-03-29 11:02:00,1
2019-03-29 11:42:00,1
2019-03-29 11:43:00,1
2019-03-29 12:11:00,1
2019-03-29 12:28:00,1
2019-03-29 12:55:00,1
2019-03-29 13:31:00,1
2019-03-29 13:44:00,1
2019-03-29 14:08:00,1
2019-03-29 14:44:00,1
2019-03-29 14:51:00,1
2019-03-29 15:54:00,1
2019-03-29 16:22:00,1
2019-03-29 16:32:00,1
2019-03-29 16:54:00,1
2019-03-29 17:04:00,1
2019-03-29 17:17:00,1
2019-03-29 17:35:00,1
2019-03-31 08:55:00,1
2019-03-31 09:15:00,1
2019-03-31 09:31:00,1
2019-03-31 11:36:00,1
2019-03-31 11:50:00,1
2019-03-31 12:07:00,1
2019-03-31 12:30:00,1
2019-03-31 13:06:00,1
2019-03-31 13:53:00,1
2019-03-31 14:19:00,1
2019-03-31 14:32:00,1
2019-03-31 17:06:00,1
2019-03-31 17:12:00,1
2019-03-31 17:27:00,1
2019-03-31 17:36:00,1
2019-03-31 17:42:00,1
2019-03-31 17:54:00,1
2019-03-31 18:05:00,1
2019-04-01 04:11:00,1
2019-04-01 04:24:00,1
2019-04-01 04:31:00,1
2019-04-01 04:38:00,1
2019-04-01 04:59:00,1
2019-04-01 05:39:00,1
2019-04-01 06:11:00,1
2019-04-01 06:28:00,1
2019-04-01 06:33:00,1
2019-04-01 06:43:00,1
2019-04-01 06:58:00,1
2019-04-01 07:17:00,1
2019-04-01 13:00:00,1
2019-04-01 14:16:00,1
2019-04-01 14:25:00,1
2019-04-01 14:30:00,1
2019-04-01 14:43:00,1
2019-04-01 15:00:00,1
2019-04-01 15:52:00,1
2019-04-01 16:01:00,1
2019-04-01 16:05:00,1
2019-04-01 16:13:00,1
2019-04-01 16:22:00,1
2019-04-01 16:29:00,1
2019-04-01 21:00:00,1
2019-04-01 21:10:00,1
2019-04-01 21:23:00,1
2019-04-01 21:29:00,1
2019-04-02 13:40:00,1
2019-04-02 14:16:00,1
2019-04-02 14:53:00,1
2019-04-02 15:04:00,1
2019-04-02 16:41:00,1
2019-04-05 15:13:00,1
2019-04-05 15:34:00,1
2019-04-05 15:40:00,1
2019-04-05 17:09:00,1
2019-04-05 17:19:00,1
2019-04-05 17:27:00,1
2019-04-07 09:28:00,1
2019-04-07 10:02:00,1
2019-04-07 13:55:00,1
2019-04-07 14:12:00,1
2019-04-07 14:21:00,1
2019-04-07 14:26:00,1
2019-04-07 14:31:00,1
2019-04-07 14:42:00,1
2019-04-07 14:48:00,1
2019-04-07 15:07:00,1
2019-04-07 15:12:00,1
2019-09-14 07:05:00,1
2019-12-10 14:38:00,1
2019-12-13 02:34:00,1
