2,"select top # objid, cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i, cModelMag_z, class from photoobjall p right outer join specobjall s on s.bestobjid = p.objid"
2019-09-05 23:34:00,1
2019-09-10 02:33:00,1
