49,"SELECT TOP # z, z_err, ra, dec, specObjID, logMass, logMass_median, logMass_err, t_age INTO MyDB.Table_#_#_mass_#_# FROM stellarMassFSPSGranWideDust WHERE z > # AND z < #"
2019-08-29 13:19:00,2
2019-08-29 13:30:00,2
2019-08-29 13:32:00,1
2019-08-29 17:26:00,2
2019-08-29 17:32:00,2
2019-08-29 18:16:00,2
2019-08-29 18:41:00,2
2019-11-20 13:51:00,2
2019-11-20 13:55:00,2
2019-11-21 11:55:00,1
2019-11-21 11:56:00,1
2019-11-21 11:59:00,2
2019-11-21 12:00:00,1
2019-11-21 12:01:00,1
2019-11-21 12:02:00,2
2019-12-16 10:24:00,2
2019-12-16 10:26:00,1
2019-12-16 10:27:00,1
2019-12-16 10:35:00,2
2019-12-16 10:40:00,2
2019-12-16 10:44:00,2
2019-12-16 10:51:00,2
2019-12-16 10:58:00,1
2019-12-16 10:59:00,1
2019-12-16 11:07:00,2
2019-12-16 11:12:00,2
2019-12-25 08:14:00,2
2019-12-25 08:18:00,2
2019-12-25 08:23:00,2
