3,"select a.objid, b.specobjid, a.ra, a.dec, c.logmass, c.sfr into mydb.MyTable from specobjall as b, photoobjall as a, stellarmasspassiveport as c where a.objid = b.bestobjid and b.specobjid = c.specobjid and a.type = # and b.z< # and c.logmass> # and c.logmass< # and a.petromag_g-a.petromag_r> # and a.petror9#_r/a.petror5#_r< # and a.fracdev_r< #"
2019-07-03 04:33:00,2
2019-07-03 04:34:00,1
