21,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p WHERE (p.type = # OR p.type = #)"
2019-01-17 23:24:00,1
2019-01-23 02:02:00,1
2019-01-31 17:54:00,1
2019-02-24 17:58:00,1
2019-03-17 19:50:00,1
2019-03-19 13:20:00,1
2019-03-26 02:01:00,1
2019-06-09 11:03:00,2
2019-06-21 02:22:00,1
2019-08-13 10:06:00,4
2019-08-15 07:31:00,1
2019-08-18 13:59:00,1
2019-08-18 14:02:00,1
2019-08-22 03:37:00,1
2019-09-21 11:29:00,1
2019-12-07 02:56:00,1
2019-12-12 16:47:00,1
