12,"SELECT u.up_name as [name], p.objID, specphotoall.specobjid, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, SpecPhotoall.petrotheta_u FROM #x x, #upload u, PhotoTag p LEFT JOIN SpecPhotoAll ON p.objID = SpecPhotoAll.objID WHERE u.up_id = x.up_id and x.objID = p.objID and p.type = # and specphotoall.specobjid IS NOT # ORDER BY x.up_id"
2019-02-22 05:53:00,1
2019-03-03 08:07:00,1
2019-03-03 08:24:00,1
2019-03-03 08:40:00,1
2019-03-03 08:49:00,1
2019-03-03 09:01:00,1
2019-03-03 09:14:00,1
2019-03-03 09:23:00,1
2019-03-03 10:42:00,1
2019-03-03 11:04:00,1
2019-03-03 11:45:00,1
2019-03-03 12:14:00,1
