18,"SELECT objID, psfMag_g, psfMag_r, l, b into mydb.MyTable_# from Star WHERE l> # AND l< # AND b> # AND b< # AND (psfMag_g - psfMag_r) > # AND (psfMag_g - psfMag_r) < # AND (psfMag_u - extinction_u) - (psfMag_g - extinction_g) > #"
2019-07-24 12:06:00,1
2019-07-24 12:08:00,1
2019-07-24 12:27:00,1
2019-07-24 12:28:00,1
2019-07-25 09:45:00,1
2019-07-25 10:12:00,2
2019-07-25 10:30:00,1
2019-07-25 10:31:00,1
2019-07-25 10:34:00,2
2019-07-25 10:35:00,1
2019-07-25 10:36:00,2
2019-07-25 10:53:00,1
2019-07-25 10:54:00,1
2019-07-25 11:00:00,1
2019-07-25 11:01:00,1
