17,"select ra, dec, class from specObj where ra BETWEEN # and # AND dec BETWEEN # and # AND class = #"
2019-02-04 14:47:00,2
2019-02-13 15:42:00,2
2019-02-27 20:45:00,1
2019-03-22 00:25:00,1
2019-04-04 16:36:00,1
2019-04-15 07:19:00,1
2019-07-17 05:29:00,1
2019-07-24 13:36:00,2
2019-08-11 10:29:00,1
2019-10-03 16:24:00,1
2019-10-15 17:52:00,1
2019-10-22 10:06:00,2
2019-11-03 22:44:00,1
