25,"SELECT TOP # p.psfMag_r, p.fiberMag_r, p.fiber2Mag_r, p.petroMag_r, p.deVMag_r, p.expMag_r, p.modelMag_r, p.cModelMag_r, s.class FROM PhotoObjAll AS p JOIN specObjAll s ON s.bestobjid = p.objid WHERE p.mode = # AND s.sciencePrimary = # AND p.clean = # AND s.class ! = # ORDER BY p.objid ASC"
2019-01-27 01:16:00,2
2019-01-27 03:33:00,1
2019-04-03 13:38:00,1
2019-04-03 14:24:00,1
2019-04-08 06:04:00,1
2019-04-09 20:38:00,1
2019-05-28 22:34:00,1
2019-06-11 22:16:00,1
2019-06-11 22:38:00,1
2019-07-03 13:40:00,1
2019-09-05 23:26:00,1
2019-09-10 02:30:00,1
2019-09-10 11:23:00,1
2019-09-13 21:26:00,1
2019-09-14 04:24:00,1
2019-09-16 06:30:00,1
2019-09-21 07:18:00,1
2019-09-22 05:55:00,1
2019-09-22 20:24:00,1
2019-09-23 11:43:00,1
2019-09-23 11:47:00,1
2019-09-24 12:03:00,1
2019-10-06 23:24:00,1
2019-10-07 15:28:00,1
