282,"select p.objid, p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, s.z as redshift, m.K_M_K2#FE, dbo.fPhotoFlagsN (flags) as flag, p.run, p.rerun, p.camCol, p.field, p.obj from galaxy p, specobj s, twomassxsc m where s.bestobjid = p.objid and m.objid = p.objid and s.z between # and # and m.K_M_K2#FE between # and # and m.cc_flg = # AND (p.flags & #) = #"
2019-02-28 13:11:00,1
2019-02-28 13:13:00,1
2019-02-28 13:16:00,1
2019-02-28 13:17:00,1
2019-02-28 17:14:00,1
2019-02-28 17:16:00,5
2019-02-28 17:17:00,17
2019-02-28 17:18:00,16
2019-02-28 17:19:00,14
2019-02-28 17:20:00,16
2019-02-28 17:21:00,17
2019-02-28 17:22:00,16
2019-02-28 17:23:00,18
2019-02-28 17:24:00,17
2019-02-28 17:25:00,17
2019-02-28 17:26:00,16
2019-02-28 17:27:00,16
2019-02-28 17:28:00,16
2019-02-28 17:29:00,19
2019-02-28 17:30:00,16
2019-02-28 17:31:00,18
2019-02-28 17:32:00,10
2019-03-30 06:34:00,1
2019-03-30 06:36:00,1
2019-03-30 06:38:00,1
2019-03-30 06:39:00,1
2019-03-30 06:42:00,1
2019-03-30 06:43:00,1
2019-03-30 06:45:00,1
2019-03-30 06:46:00,1
2019-03-30 06:47:00,1
2019-03-30 06:49:00,1
2019-04-08 12:35:00,3
