26,"SELECT DISTINCT s.ra, s.dec, s.specobjid, s.z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-27 19:15:00,1
2019-02-27 19:17:00,1
2019-06-11 20:47:00,2
2019-06-11 21:14:00,1
2019-06-11 21:35:00,1
2019-06-11 21:49:00,1
2019-06-12 18:33:00,1
2019-06-12 18:35:00,1
2019-06-12 18:37:00,2
2019-06-12 18:45:00,1
2019-06-13 23:42:00,1
2019-06-14 18:48:00,2
2019-06-14 18:49:00,1
2019-06-14 18:50:00,1
2019-06-18 16:39:00,1
2019-06-18 16:40:00,2
2019-06-18 20:16:00,1
2019-06-19 03:20:00,1
2019-06-19 17:40:00,1
2019-06-19 17:41:00,2
2019-06-19 17:42:00,1
