5,"SELECT dbo.fCosmoDc (#, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT) # as distmin, dbo.fCosmoDc (#, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT) +# as distmax"
2019-02-10 17:39:00,2
2019-02-10 17:40:00,1
2019-02-10 18:16:00,2
