4,"select p.objid as name, p.ra, p.dec from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid and (p.r BETWEEN # AND #) and (p.g-p.r BETWEEN -.# AND #)"
2019-06-25 15:20:00,3
2019-06-25 15:21:00,1
