854,"SELECT TOP # u, g, r, i, z FROM Galaxy WHERE (htmid*# & #) < (# * #)"
2019-01-01 08:59:00,1
2019-01-01 22:19:00,1
2019-01-02 00:55:00,1
2019-01-03 11:08:00,1
2019-01-03 13:37:00,1
2019-01-05 07:23:00,1
2019-01-05 11:35:00,1
2019-01-06 18:11:00,1
2019-01-07 23:52:00,1
2019-01-08 03:01:00,1
2019-01-08 05:24:00,1
2019-01-08 14:47:00,1
2019-01-09 20:36:00,1
2019-01-10 02:13:00,1
2019-01-10 13:18:00,2
2019-01-10 21:57:00,1
2019-01-12 09:16:00,1
2019-01-12 21:39:00,1
2019-01-14 11:12:00,1
2019-01-16 02:17:00,1
2019-01-16 04:22:00,1
2019-01-17 04:30:00,1
2019-01-17 21:55:00,2
2019-01-18 00:19:00,1
2019-01-20 06:59:00,1
2019-01-20 18:29:00,1
2019-01-22 08:13:00,1
2019-01-22 13:08:00,1
2019-01-22 20:08:00,1
2019-01-22 20:45:00,1
2019-01-24 12:39:00,1
2019-01-25 11:21:00,1
2019-01-25 12:50:00,1
2019-01-26 10:32:00,1
2019-01-26 19:55:00,1
2019-01-27 09:24:00,1
2019-01-27 09:43:00,1
2019-01-27 21:37:00,1
2019-01-28 03:01:00,1
2019-01-28 13:05:00,1
2019-01-28 13:54:00,1
2019-01-29 00:42:00,1
2019-01-29 09:29:00,1
2019-01-29 15:25:00,1
2019-01-29 20:36:00,1
2019-01-30 15:42:00,2
2019-01-30 21:05:00,1
2019-01-31 04:40:00,1
2019-01-31 17:42:00,1
2019-01-31 20:01:00,1
2019-02-01 07:26:00,1
2019-02-01 08:00:00,1
2019-02-01 21:12:00,1
2019-02-02 05:18:00,1
2019-02-02 07:40:00,1
2019-02-02 14:35:00,1
2019-02-03 22:13:00,1
2019-02-04 08:03:00,1
2019-02-04 08:44:00,1
2019-02-04 09:39:00,1
2019-02-05 15:03:00,1
2019-02-07 00:54:00,1
2019-02-08 04:21:00,1
2019-02-08 16:58:00,1
2019-02-09 18:01:00,1
2019-02-11 04:35:00,1
2019-02-11 08:14:00,1
2019-02-11 21:31:00,1
2019-02-11 22:35:00,1
2019-02-12 15:12:00,1
2019-02-12 18:45:00,1
2019-02-12 19:02:00,1
2019-02-12 20:22:00,1
2019-02-13 12:20:00,1
2019-02-13 22:16:00,1
2019-02-14 03:32:00,1
2019-02-14 12:14:00,1
2019-02-14 12:23:00,1
2019-02-16 01:10:00,1
2019-02-16 06:24:00,1
2019-02-16 07:14:00,1
2019-02-17 01:27:00,1
2019-02-17 02:15:00,1
2019-02-17 08:59:00,1
2019-02-18 00:26:00,1
2019-02-18 23:19:00,1
2019-02-21 07:34:00,1
2019-02-21 13:00:00,1
2019-02-22 05:58:00,1
2019-02-22 18:21:00,1
2019-02-23 01:49:00,1
2019-02-23 11:33:00,1
2019-02-23 12:44:00,1
2019-02-24 08:47:00,1
2019-02-25 18:02:00,1
2019-02-26 01:23:00,1
2019-02-28 01:46:00,1
2019-02-28 07:59:00,1
2019-03-01 01:17:00,1
2019-03-01 01:41:00,1
2019-03-01 02:14:00,1
2019-03-01 03:32:00,1
2019-03-01 05:42:00,1
2019-03-01 10:06:00,1
2019-03-01 18:28:00,1
2019-03-01 19:07:00,1
2019-03-01 21:15:00,1
2019-03-02 00:45:00,1
2019-03-02 01:16:00,1
2019-03-02 09:20:00,1
2019-03-02 17:36:00,1
2019-03-02 18:39:00,1
2019-03-02 22:03:00,1
2019-03-03 02:19:00,1
2019-03-03 02:21:00,1
2019-03-03 04:09:00,1
2019-03-03 11:42:00,1
2019-03-04 07:05:00,1
2019-03-04 12:17:00,1
2019-03-04 22:58:00,1
2019-03-05 05:28:00,1
2019-03-05 16:58:00,1
2019-03-06 10:56:00,1
2019-03-06 13:54:00,1
2019-03-06 14:33:00,1
2019-03-06 20:57:00,1
2019-03-06 22:56:00,1
2019-03-07 11:02:00,1
2019-03-08 11:18:00,1
2019-03-08 14:32:00,1
2019-03-08 20:38:00,1
2019-03-08 22:31:00,1
2019-03-09 02:01:00,1
2019-03-09 02:57:00,1
2019-03-09 07:36:00,1
2019-03-09 11:36:00,1
2019-03-09 19:21:00,1
2019-03-10 00:40:00,1
2019-03-10 01:47:00,1
2019-03-10 21:51:00,1
2019-03-11 02:14:00,1
2019-03-11 07:52:00,1
2019-03-11 13:03:00,1
2019-03-11 16:44:00,1
2019-03-12 01:33:00,1
2019-03-12 02:26:00,1
