23,SELECT TOP # objID FROM Galaxy WHERE r < # -- r IS NOT deredenned and extinction_r > # -- extinction more than #
2019-01-01 13:56:00,1
2019-01-01 13:57:00,1
2019-01-04 09:52:00,1
2019-01-07 14:47:00,3
2019-02-13 16:19:00,1
2019-02-17 09:30:00,1
2019-04-12 10:09:00,1
2019-05-02 12:34:00,1
2019-05-02 12:38:00,1
2019-05-12 06:46:00,1
2019-05-13 05:14:00,1
2019-05-31 05:56:00,1
2019-06-14 00:36:00,2
2019-06-20 04:46:00,1
2019-06-20 04:47:00,1
2019-08-05 12:40:00,1
2019-08-10 13:48:00,1
2019-09-29 11:24:00,1
2019-11-01 11:18:00,1
2019-11-12 08:28:00,1
