2,"SELECT SUBSTRING (COMPOSER, #, #) AS initial, COUNT (Composer) as count FROM chinook.Track GROUP BY Composer ORDER BY initial Desc"
2019-04-24 04:56:00,1
2019-04-24 04:57:00,1
