853,"SELECT TOP # u, g, r, i, z, ra, dec, flags_r FROM Galaxy WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-01-01 10:00:00,1
2019-01-02 01:52:00,1
2019-01-03 10:03:00,1
2019-01-03 11:16:00,1
2019-01-03 17:42:00,1
2019-01-04 13:56:00,1
2019-01-05 09:17:00,1
2019-01-05 18:15:00,1
2019-01-08 02:02:00,1
2019-01-08 03:51:00,1
2019-01-08 04:51:00,1
2019-01-08 06:52:00,1
2019-01-08 17:18:00,1
2019-01-09 22:21:00,1
2019-01-10 02:35:00,1
2019-01-10 20:20:00,1
2019-01-10 22:45:00,1
2019-01-12 09:36:00,1
2019-01-14 11:41:00,1
2019-01-17 04:29:00,1
2019-01-17 23:04:00,1
2019-01-17 23:09:00,1
2019-01-19 17:02:00,1
2019-01-19 21:14:00,1
2019-01-20 18:27:00,1
2019-01-22 09:02:00,1
2019-01-22 15:15:00,1
2019-01-22 21:00:00,1
2019-01-23 14:16:00,1
2019-01-23 21:46:00,1
2019-01-24 13:45:00,1
2019-01-24 18:48:00,1
2019-01-25 11:17:00,1
2019-01-25 17:35:00,1
2019-01-25 21:46:00,1
2019-01-25 21:51:00,1
2019-01-25 21:53:00,1
2019-01-26 13:30:00,1
2019-01-26 22:21:00,1
2019-01-27 16:23:00,1
2019-01-27 18:18:00,1
2019-01-27 19:41:00,1
2019-01-27 22:42:00,1
2019-01-28 08:31:00,1
2019-01-28 16:03:00,1
2019-01-28 16:09:00,1
2019-01-29 03:46:00,1
2019-01-30 04:07:00,1
2019-01-30 18:16:00,2
2019-01-30 21:26:00,1
2019-01-31 00:38:00,1
2019-01-31 05:04:00,1
2019-02-01 11:49:00,1
2019-02-01 19:43:00,1
2019-02-01 23:24:00,1
2019-02-02 12:53:00,1
2019-02-02 15:42:00,1
2019-02-03 07:47:00,1
2019-02-04 10:26:00,1
2019-02-06 02:25:00,1
2019-02-07 11:10:00,1
2019-02-08 05:16:00,1
2019-02-08 16:56:00,1
2019-02-09 02:27:00,1
2019-02-09 15:41:00,1
2019-02-09 22:52:00,1
2019-02-10 01:06:00,1
2019-02-10 18:41:00,1
2019-02-10 20:10:00,1
2019-02-11 05:07:00,1
2019-02-11 22:20:00,1
2019-02-11 22:33:00,1
2019-02-12 17:25:00,1
2019-02-12 19:47:00,1
2019-02-12 19:54:00,1
2019-02-13 04:10:00,1
2019-02-13 14:32:00,1
2019-02-14 09:01:00,1
2019-02-14 12:46:00,1
2019-02-14 14:28:00,1
2019-02-14 17:09:00,1
2019-02-14 18:22:00,1
2019-02-15 05:55:00,1
2019-02-15 22:58:00,1
2019-02-16 22:48:00,1
2019-02-16 22:57:00,1
2019-02-18 00:36:00,1
2019-02-18 19:58:00,1
2019-02-18 19:59:00,1
2019-02-18 20:40:00,1
2019-02-19 00:11:00,1
2019-02-19 06:52:00,1
2019-02-19 14:04:00,1
2019-02-20 01:17:00,1
2019-02-20 05:56:00,1
2019-02-21 16:11:00,1
2019-02-21 18:04:00,1
2019-02-23 21:13:00,1
2019-02-24 00:17:00,1
2019-02-24 21:28:00,1
2019-02-25 02:04:00,1
2019-02-25 14:32:00,1
2019-02-25 15:58:00,1
2019-02-26 00:22:00,1
2019-02-26 02:54:00,1
2019-02-27 17:41:00,1
2019-02-28 01:46:00,1
2019-02-28 06:56:00,1
2019-02-28 08:54:00,1
2019-02-28 17:20:00,1
2019-02-28 17:50:00,1
2019-03-01 00:43:00,1
2019-03-01 10:21:00,1
2019-03-01 10:31:00,1
2019-03-01 17:39:00,1
2019-03-02 09:37:00,1
2019-03-03 04:24:00,1
2019-03-03 18:15:00,1
2019-03-04 22:56:00,1
2019-03-05 11:12:00,1
2019-03-06 14:58:00,1
2019-03-06 16:26:00,1
2019-03-06 20:32:00,1
2019-03-07 10:02:00,1
2019-03-07 14:06:00,1
2019-03-07 21:31:00,1
2019-03-08 00:14:00,1
2019-03-08 11:16:00,1
2019-03-08 14:31:00,1
2019-03-08 21:57:00,1
2019-03-09 00:49:00,1
2019-03-09 05:27:00,1
2019-03-09 12:08:00,1
2019-03-09 22:14:00,1
2019-03-10 01:26:00,1
2019-03-10 02:42:00,1
2019-03-11 03:10:00,1
2019-03-11 11:14:00,1
2019-03-11 17:07:00,1
2019-03-13 02:52:00,1
2019-03-13 05:08:00,1
2019-03-13 07:46:00,1
2019-03-14 02:19:00,1
2019-03-14 14:26:00,1
2019-03-15 01:34:00,1
2019-03-15 14:27:00,1
2019-03-15 18:02:00,1
2019-03-15 19:21:00,1
2019-03-16 13:37:00,1
2019-03-16 16:53:00,1
2019-03-17 08:01:00,1
2019-03-17 21:59:00,1
2019-03-18 14:10:00,1
2019-03-19 01:43:00,1
2019-03-19 01:46:00,1
2019-03-19 01:48:00,1
2019-03-19 09:58:00,1
2019-03-19 16:25:00,2
2019-03-19 20:43:00,1
2019-03-20 15:18:00,1
2019-03-21 01:19:00,1
2019-03-21 16:48:00,1
2019-03-21 22:08:00,1
2019-03-23 15:36:00,1
2019-03-24 02:51:00,1
2019-03-24 17:58:00,1
2019-03-25 02:22:00,1
2019-03-25 05:12:00,1
2019-03-25 10:22:00,1
2019-03-25 12:29:00,1
2019-03-26 11:09:00,1
2019-03-26 11:26:00,1
2019-03-27 19:41:00,1
2019-03-28 12:02:00,1
2019-03-28 18:42:00,1
2019-03-28 23:19:00,1
2019-03-28 23:50:00,1
2019-03-29 23:59:00,1
2019-03-30 09:58:00,1
2019-03-31 17:50:00,1
2019-03-31 21:17:00,1
2019-04-01 12:33:00,1
2019-04-01 20:12:00,1
2019-04-01 20:28:00,1
2019-04-02 05:44:00,1
2019-04-02 12:17:00,1
2019-04-02 16:23:00,1
2019-04-02 21:08:00,1
2019-04-04 13:42:00,1
2019-04-04 22:19:00,1
2019-04-05 19:28:00,1
2019-04-06 05:17:00,1
2019-04-06 06:16:00,1
2019-04-06 12:44:00,1
2019-04-06 19:43:00,1
2019-04-07 05:53:00,1
2019-04-07 10:13:00,1
2019-04-07 13:56:00,1
2019-04-07 15:00:00,1
2019-04-07 17:03:00,1
2019-04-09 05:25:00,1
2019-04-09 22:13:00,1
2019-04-11 01:54:00,2
2019-04-12 04:11:00,1
2019-04-13 11:24:00,1
2019-04-13 14:57:00,1
2019-04-13 16:01:00,1
2019-04-14 13:01:00,1
2019-04-15 19:10:00,1
2019-04-15 21:00:00,1
2019-04-16 00:24:00,1
2019-04-16 07:02:00,1
2019-04-18 01:16:00,1
2019-04-18 10:07:00,1
2019-04-18 10:08:00,1
2019-04-18 10:43:00,1
2019-04-18 16:16:00,1
2019-04-18 23:36:00,1
2019-04-19 00:41:00,1
2019-04-20 20:38:00,1
2019-04-21 06:22:00,1
2019-04-21 10:07:00,1
2019-04-22 11:53:00,1
2019-04-22 14:54:00,1
2019-04-22 17:02:00,1
2019-04-22 23:34:00,1
2019-04-24 02:05:00,1
2019-04-25 04:43:00,1
2019-04-26 04:00:00,1
2019-04-26 22:48:00,1
2019-04-27 08:57:00,1
2019-04-27 12:38:00,1
2019-04-28 03:50:00,1
2019-04-28 10:15:00,1
2019-04-28 11:19:00,1
2019-04-28 13:31:00,1
2019-04-29 03:18:00,1
2019-04-29 19:13:00,1
2019-04-29 20:46:00,1
2019-04-30 11:46:00,1
2019-05-01 23:30:00,1
2019-05-02 22:33:00,1
2019-05-03 07:43:00,1
2019-05-04 00:20:00,1
2019-05-05 05:48:00,1
2019-05-06 07:10:00,1
2019-05-06 08:50:00,1
2019-05-06 09:59:00,1
2019-05-06 17:09:00,1
2019-05-06 23:25:00,1
2019-05-08 17:29:00,1
2019-05-09 09:57:00,1
2019-05-11 06:10:00,1
2019-05-11 07:44:00,1
2019-05-12 08:48:00,1
2019-05-13 09:00:00,1
2019-05-13 09:24:00,1
2019-05-13 09:54:00,1
2019-05-13 19:41:00,1
2019-05-14 00:43:00,1
2019-05-14 01:00:00,1
2019-05-14 08:29:00,1
2019-05-14 11:28:00,1
2019-05-14 22:06:00,1
2019-05-15 20:03:00,1
2019-05-15 23:12:00,1
2019-05-17 01:46:00,1
2019-05-17 04:37:00,1
2019-05-17 04:57:00,1
2019-05-17 05:08:00,1
2019-05-18 10:48:00,1
2019-05-18 11:37:00,1
2019-05-19 03:47:00,1
2019-05-19 11:16:00,1
2019-05-20 17:26:00,1
2019-05-20 19:32:00,1
2019-05-21 05:20:00,1
2019-05-21 06:53:00,1
2019-05-21 10:56:00,1
2019-05-21 12:21:00,1
2019-05-22 09:37:00,1
2019-05-23 04:26:00,1
2019-05-23 08:57:00,1
2019-05-23 12:28:00,1
2019-05-23 17:39:00,1
2019-05-23 18:21:00,1
2019-05-24 20:01:00,1
2019-05-24 21:20:00,1
2019-05-24 22:14:00,1
2019-05-24 23:00:00,1
2019-05-25 00:01:00,1
2019-05-25 07:25:00,1
2019-05-26 21:57:00,1
2019-05-27 12:37:00,1
2019-05-28 19:40:00,1
2019-05-29 02:59:00,1
2019-05-29 04:46:00,1
2019-05-29 13:02:00,1
2019-05-29 15:10:00,1
2019-05-29 21:37:00,1
2019-05-30 04:14:00,1
2019-05-30 05:19:00,1
2019-05-30 05:58:00,1
2019-05-30 16:09:00,1
2019-05-30 23:23:00,1
2019-05-31 03:26:00,1
2019-05-31 17:57:00,1
2019-06-03 07:20:00,1
2019-06-03 14:37:00,1
2019-06-04 14:07:00,1
2019-06-05 11:25:00,1
2019-06-05 18:38:00,1
2019-06-06 07:31:00,1
2019-06-07 12:44:00,1
2019-06-07 15:19:00,1
2019-06-07 19:17:00,1
2019-06-07 19:19:00,2
2019-06-07 19:20:00,4
2019-06-07 19:21:00,4
2019-06-07 19:22:00,4
2019-06-07 19:23:00,4
2019-06-07 19:24:00,5
2019-06-07 19:25:00,1
2019-06-08 17:20:00,1
2019-06-11 00:56:00,1
2019-06-11 01:57:00,1
2019-06-11 02:08:00,1
2019-06-11 17:17:00,1
2019-06-11 23:30:00,1
2019-06-14 08:18:00,1
2019-06-14 18:19:00,1
2019-06-14 20:02:00,1
2019-06-14 20:04:00,1
2019-06-14 23:19:00,1
2019-06-15 01:48:00,1
2019-06-15 11:41:00,1
2019-06-15 15:13:00,1
2019-06-15 23:26:00,1
2019-06-16 17:52:00,1
2019-06-17 05:54:00,1
2019-06-17 10:49:00,1
2019-06-17 11:04:00,1
2019-06-18 15:38:00,1
2019-06-18 17:42:00,1
2019-06-19 05:41:00,1
2019-06-19 09:53:00,1
2019-06-19 13:07:00,1
2019-06-19 13:45:00,1
2019-06-19 13:49:00,1
2019-06-20 04:21:00,1
2019-06-21 06:55:00,1
2019-06-21 06:57:00,1
2019-06-23 05:56:00,1
2019-06-23 15:57:00,1
2019-06-23 18:00:00,1
2019-06-24 04:55:00,1
2019-06-24 08:47:00,1
2019-06-24 12:49:00,1
2019-06-24 17:45:00,1
2019-06-24 22:10:00,1
2019-06-25 08:59:00,1
2019-06-25 18:03:00,1
2019-06-25 23:53:00,1
2019-06-26 00:56:00,1
2019-06-26 22:05:00,1
2019-06-27 03:04:00,1
2019-06-27 10:02:00,1
2019-06-27 16:55:00,1
2019-06-27 20:18:00,1
2019-06-28 00:11:00,1
2019-06-28 03:42:00,1
2019-06-28 06:55:00,1
2019-06-28 13:10:00,1
2019-06-29 06:51:00,1
2019-06-29 16:39:00,1
2019-06-30 21:22:00,1
2019-07-01 10:15:00,1
2019-07-02 15:24:00,1
2019-07-02 19:00:00,1
2019-07-03 10:14:00,1
2019-07-04 09:38:00,1
2019-07-05 10:55:00,1
2019-07-05 21:24:00,1
2019-07-05 22:26:00,1
2019-07-06 01:40:00,1
2019-07-07 01:51:00,1
2019-07-07 21:54:00,1
2019-07-08 05:45:00,1
2019-07-08 12:56:00,1
2019-07-08 17:54:00,1
2019-07-09 13:57:00,1
2019-07-10 03:17:00,1
2019-07-11 06:40:00,1
2019-07-12 03:32:00,1
2019-07-12 11:01:00,1
2019-07-12 21:07:00,1
2019-07-13 05:03:00,1
2019-07-13 19:14:00,1
2019-07-13 20:37:00,1
2019-07-14 02:23:00,1
2019-07-14 09:52:00,1
2019-07-14 19:46:00,1
2019-07-15 08:03:00,1
2019-07-16 04:49:00,1
2019-07-16 16:16:00,1
2019-07-18 11:58:00,1
2019-07-19 00:00:00,1
2019-07-20 00:32:00,1
2019-07-20 02:01:00,1
2019-07-20 04:43:00,1
2019-07-20 05:18:00,1
2019-07-20 09:13:00,1
2019-07-21 04:17:00,1
2019-07-21 12:30:00,1
2019-07-22 01:51:00,1
2019-07-22 06:05:00,1
2019-07-22 07:50:00,1
2019-07-23 15:38:00,1
2019-07-23 23:05:00,1
2019-07-24 01:34:00,1
2019-07-25 16:15:00,1
2019-07-27 21:53:00,1
2019-07-28 04:06:00,1
2019-07-28 08:45:00,1
2019-07-28 09:06:00,1
2019-07-28 22:03:00,1
2019-07-29 14:11:00,1
2019-07-30 03:36:00,1
2019-07-30 09:10:00,1
2019-07-30 12:21:00,1
2019-07-30 17:19:00,1
2019-07-30 22:52:00,1
2019-07-31 05:44:00,1
2019-07-31 16:08:00,1
2019-07-31 22:25:00,1
2019-08-03 03:34:00,1
2019-08-04 21:46:00,1
2019-08-04 23:26:00,1
2019-08-05 03:02:00,1
2019-08-05 04:24:00,1
2019-08-05 15:19:00,1
2019-08-05 17:21:00,1
2019-08-05 20:32:00,1
2019-08-06 21:46:00,1
2019-08-07 08:49:00,1
2019-08-07 23:03:00,1
2019-08-08 20:48:00,1
2019-08-09 14:30:00,1
2019-08-09 14:58:00,1
2019-08-09 17:56:00,1
2019-08-10 04:35:00,1
2019-08-10 13:25:00,1
2019-08-11 01:13:00,1
2019-08-12 08:07:00,1
2019-08-12 17:03:00,1
2019-08-12 17:08:00,1
2019-08-13 08:13:00,1
2019-08-13 09:56:00,2
2019-08-13 17:02:00,1
2019-08-13 17:10:00,1
2019-08-14 07:00:00,1
2019-08-16 14:56:00,1
2019-08-17 00:01:00,1
2019-08-17 05:25:00,1
2019-08-18 05:26:00,1
2019-08-18 21:50:00,1
2019-08-19 09:02:00,1
2019-08-22 18:04:00,1
2019-08-23 14:30:00,1
2019-08-24 11:43:00,1
2019-08-25 01:23:00,1
2019-08-25 07:30:00,1
2019-08-27 19:15:00,1
2019-08-27 22:58:00,1
2019-08-28 00:22:00,1
2019-08-28 03:32:00,1
2019-08-29 06:58:00,1
2019-08-29 19:13:00,1
2019-08-29 19:14:00,1
2019-08-30 05:28:00,1
2019-08-30 21:01:00,1
2019-08-31 10:19:00,1
2019-08-31 10:20:00,1
2019-08-31 18:40:00,1
2019-08-31 20:53:00,1
2019-09-01 04:32:00,1
2019-09-01 07:57:00,1
2019-09-01 08:36:00,1
2019-09-01 17:09:00,1
2019-09-02 11:36:00,1
2019-09-02 18:20:00,1
2019-09-03 19:22:00,1
2019-09-04 08:35:00,1
2019-09-05 04:34:00,1
2019-09-05 23:03:00,1
2019-09-06 06:26:00,1
2019-09-07 07:37:00,1
2019-09-07 17:41:00,1
2019-09-07 17:54:00,1
2019-09-08 08:39:00,1
2019-09-08 11:44:00,1
2019-09-08 17:12:00,1
2019-09-09 06:05:00,1
2019-09-09 18:19:00,1
2019-09-10 08:27:00,1
2019-09-10 19:30:00,1
2019-09-11 14:18:00,1
2019-09-11 22:31:00,1
2019-09-12 07:41:00,1
2019-09-12 09:12:00,1
2019-09-13 19:54:00,1
2019-09-15 06:21:00,1
2019-09-16 12:51:00,1
2019-09-17 03:11:00,1
2019-09-17 11:49:00,1
2019-09-17 16:43:00,1
2019-09-18 11:45:00,1
2019-09-18 14:15:00,1
2019-09-18 14:26:00,1
2019-09-18 16:23:00,1
2019-09-18 16:24:00,1
2019-09-18 17:36:00,1
2019-09-18 17:38:00,1
2019-09-18 19:24:00,1
2019-09-18 19:54:00,1
2019-09-18 23:37:00,1
2019-09-19 02:25:00,1
2019-09-19 04:56:00,1
2019-09-19 10:39:00,1
2019-09-19 17:21:00,1
2019-09-20 00:53:00,1
2019-09-20 03:21:00,1
2019-09-20 06:08:00,1
2019-09-20 10:13:00,1
2019-09-20 17:57:00,1
2019-09-21 13:19:00,1
2019-09-23 04:19:00,1
2019-09-23 06:00:00,1
2019-09-23 15:11:00,1
2019-09-23 20:31:00,1
2019-09-24 18:38:00,2
2019-09-25 02:03:00,1
2019-09-25 06:17:00,1
2019-09-25 07:41:00,1
2019-09-26 05:09:00,1
2019-09-26 06:17:00,1
2019-09-26 18:51:00,1
2019-09-27 11:51:00,1
2019-09-27 12:01:00,1
2019-09-27 14:24:00,1
2019-09-28 17:26:00,1
2019-09-28 22:16:00,1
2019-09-29 00:31:00,1
2019-09-29 19:09:00,1
2019-09-29 22:30:00,1
2019-09-29 23:40:00,1
2019-09-30 10:31:00,1
2019-10-01 11:21:00,1
2019-10-01 20:33:00,1
2019-10-02 07:17:00,1
2019-10-02 09:52:00,1
2019-10-02 19:28:00,1
2019-10-03 16:44:00,1
2019-10-03 20:15:00,1
2019-10-03 21:40:00,1
2019-10-04 08:11:00,1
2019-10-04 13:38:00,1
2019-10-04 16:37:00,1
2019-10-07 07:21:00,1
2019-10-08 00:32:00,1
2019-10-08 01:35:00,1
2019-10-08 03:44:00,1
2019-10-08 19:49:00,1
2019-10-09 11:50:00,1
2019-10-09 17:23:00,1
2019-10-09 20:51:00,1
2019-10-09 21:09:00,1
2019-10-09 22:03:00,1
2019-10-10 07:12:00,1
2019-10-10 13:53:00,1
2019-10-10 20:16:00,1
2019-10-11 04:22:00,1
2019-10-11 17:02:00,1
2019-10-11 17:54:00,1
2019-10-12 18:21:00,1
2019-10-12 21:39:00,1
2019-10-13 01:54:00,1
2019-10-13 03:27:00,1
2019-10-13 07:37:00,1
2019-10-13 07:44:00,2
2019-10-13 07:46:00,1
2019-10-13 12:59:00,1
2019-10-14 01:51:00,1
2019-10-14 02:56:00,1
2019-10-14 05:00:00,1
