68,"SELECT p.objID, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags, z.z as photoz, z.zErr as photozErr, s.specObjID as specObjID, s.z_noqso as specz_noqso, s.zErr_noqso as speczErr_noqso, s.zWarning_noqso as speczWarning_noqso, s.class, p.rowv as RowV, p.rowvErr as RowVErr, p.colv as ColV, p.colvErr as ColVErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE p.rowv between # and # AND p.colv between # and # AND ( (flags & #) ! =#) AND ( (flags & #) = #) AND ( (flags & #) = #) AND # < = p.ra and p.ra < = # and # < = p.dec and p.dec < = #"
2019-05-20 05:21:00,3
2019-05-20 05:22:00,10
2019-05-20 05:23:00,8
2019-05-20 05:25:00,2
2019-05-20 05:26:00,10
2019-05-20 05:27:00,7
2019-05-23 07:05:00,2
2019-05-23 07:06:00,6
2019-05-23 07:07:00,8
2019-05-23 07:08:00,3
2019-05-23 07:21:00,6
2019-05-23 07:22:00,3
