49,"SELECT TOP # bestobjid, z FROM SpecObj WHERE class = # AND zWarning = # AND survey = # AND z BETWEEN # and #"
2019-03-14 12:56:00,1
2019-03-14 13:05:00,2
2019-03-14 14:51:00,1
2019-03-14 14:52:00,1
2019-03-14 15:00:00,2
2019-03-15 06:44:00,1
2019-03-15 08:07:00,1
2019-03-15 08:08:00,3
2019-03-15 08:09:00,1
2019-03-15 08:16:00,1
2019-03-15 08:17:00,1
2019-03-15 08:23:00,1
2019-03-15 08:31:00,1
2019-03-15 08:38:00,1
2019-03-15 08:41:00,1
2019-03-15 08:43:00,1
2019-03-15 08:49:00,1
2019-03-15 08:53:00,1
2019-03-15 08:58:00,1
2019-03-15 09:00:00,1
2019-03-15 09:01:00,1
2019-03-15 09:04:00,1
2019-03-19 12:29:00,1
2019-03-19 12:30:00,2
2019-03-19 12:32:00,1
2019-03-19 12:54:00,1
2019-03-29 16:17:00,1
2019-03-29 16:57:00,2
2019-03-29 17:10:00,1
2019-03-29 17:25:00,1
2019-03-29 17:42:00,1
2019-03-29 17:55:00,1
2019-03-29 18:04:00,1
2019-03-29 22:38:00,1
2019-03-29 22:42:00,1
2019-03-29 22:56:00,1
2019-03-29 23:00:00,1
2019-03-29 23:12:00,1
2019-03-29 23:20:00,1
2019-03-31 14:25:00,1
2019-03-31 14:44:00,1
2019-03-31 14:52:00,1
2019-03-31 14:53:00,1
