21,"SELECT TOP # s.z, p.objID FROM BESTDR7..SpecObj as s JOIN BESTDR7..PhotoObj AS p ON s.bestObjID = p.objID WHERE s.z > # AND (s.specClass = dbo.fSpecClass (#) ) AND s.z < # AND (p.type = # OR p.type = #)"
2019-02-11 06:49:00,1
2019-02-18 07:04:00,1
2019-02-18 07:09:00,1
2019-02-18 07:10:00,2
2019-02-18 07:24:00,1
2019-02-18 15:27:00,1
2019-02-24 07:33:00,1
2019-02-24 07:38:00,3
2019-02-24 07:40:00,1
2019-02-24 07:41:00,1
2019-02-24 07:46:00,1
2019-03-08 10:47:00,1
2019-03-08 10:54:00,1
2019-03-08 10:55:00,1
2019-03-09 01:57:00,1
2019-03-12 06:19:00,1
2019-09-25 05:36:00,1
2019-09-25 05:59:00,1
