421,"SELECT s.specObjID, g.class, g.subClass, x.z, x.ra, x.dec, x.plate, x.fiberID, x.MJD, s.oii_#_flux as OII3#, s.oiii_#_flux as OIII4#, s.oiii_#_flux as OIII5#, s.h_beta_flux as HBeta, s.h_alpha_flux as HAlpha, s.nii_#_flux as NII6#, x.logMass as logM FROM galSpecLine s JOIN stellarMassFSPSGranEarlyDust x ON x.specObjID = s.specObjID JOIN specObj g ON g.specObjID = s.specObjID WHERE x.plate = # AND x.fiberID = #"
2019-03-14 19:44:00,72
2019-03-14 19:45:00,133
2019-03-14 19:46:00,55
2019-03-25 19:02:00,1
2019-03-25 19:03:00,2
2019-03-25 19:06:00,1
2019-03-25 19:07:00,1
2019-03-25 19:10:00,2
2019-03-25 19:25:00,1
2019-03-25 19:26:00,3
2019-03-25 19:28:00,2
2019-03-25 19:29:00,2
2019-03-25 19:30:00,1
2019-03-25 19:34:00,1
2019-03-25 19:35:00,1
2019-03-25 19:48:00,1
2019-03-25 19:49:00,1
2019-03-25 19:50:00,1
2019-03-25 19:52:00,4
2019-03-25 19:53:00,2
2019-03-25 19:59:00,1
2019-03-25 20:00:00,2
2019-03-25 20:01:00,1
2019-03-25 20:02:00,2
2019-03-25 23:39:00,2
2019-03-27 15:13:00,2
2019-03-27 15:17:00,3
2019-03-27 15:48:00,2
2019-03-27 15:49:00,1
2019-03-27 15:50:00,2
2019-03-27 15:51:00,1
2019-03-27 15:52:00,1
2019-03-27 15:54:00,2
2019-03-27 16:04:00,2
2019-03-27 16:14:00,1
2019-03-27 16:17:00,1
2019-03-27 17:01:00,1
2019-03-27 17:08:00,1
2019-03-27 19:42:00,1
2019-03-27 19:43:00,5
2019-03-27 19:57:00,1
2019-03-27 19:58:00,1
2019-03-27 20:01:00,1
2019-03-27 20:58:00,1
2019-04-02 18:47:00,7
2019-04-02 19:20:00,1
2019-04-02 19:21:00,1
2019-04-02 20:31:00,1
2019-04-02 20:32:00,1
2019-04-02 20:59:00,1
2019-04-02 21:00:00,4
2019-04-02 21:01:00,8
2019-04-02 21:02:00,8
2019-04-02 21:13:00,1
2019-04-02 21:18:00,9
2019-04-02 21:32:00,1
2019-04-02 21:37:00,1
2019-04-02 21:39:00,2
2019-04-02 21:40:00,12
2019-04-02 21:49:00,1
2019-04-02 21:52:00,2
2019-04-02 21:54:00,4
2019-04-02 21:55:00,3
2019-04-03 00:35:00,2
2019-04-03 00:36:00,5
2019-04-03 00:37:00,5
2019-04-03 00:48:00,3
2019-04-03 00:49:00,8
2019-04-03 00:50:00,5
