14,"select ra, dec from photoObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-04-12 11:57:00,1
2019-05-09 20:18:00,1
2019-10-16 19:56:00,1
2019-10-17 13:19:00,3
2019-11-12 14:22:00,1
2019-11-14 05:56:00,2
2019-11-14 05:58:00,1
2019-11-14 05:59:00,2
2019-12-18 19:54:00,1
2019-12-18 19:55:00,1
