18,"SELECT u.up_name as [name], p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, dbo.fPhotoTypeN (p.type) as type FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID ORDER BY x.up_id"
2019-12-04 11:06:00,1
2019-12-05 01:24:00,1
2019-12-05 03:23:00,1
2019-12-05 03:25:00,1
2019-12-05 03:26:00,1
2019-12-05 03:27:00,1
2019-12-05 03:28:00,1
2019-12-05 03:29:00,1
2019-12-05 03:30:00,2
2019-12-05 03:31:00,1
2019-12-05 03:32:00,1
2019-12-05 03:33:00,1
2019-12-05 03:34:00,1
2019-12-05 03:35:00,1
2019-12-05 03:36:00,2
2019-12-05 05:53:00,1
