13,"SELECT TOP # # + cast (p.apstar_id as varchar (#) ) + # + cast (p.apstar_id as varchar (#) ) + # as apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.metals FROM apogeeStar p JOIN aspcapStar a on a.apstar_id = p.apstar_id WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-01-24 15:35:00,1
2019-04-11 05:48:00,1
2019-04-11 07:33:00,2
2019-04-29 03:39:00,3
2019-09-13 18:37:00,1
2019-09-13 18:39:00,1
2019-09-14 19:14:00,1
2019-09-14 21:42:00,1
2019-09-16 20:22:00,1
2019-09-20 19:40:00,1
