82,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from galaxy p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-14 15:57:00,1
2019-01-14 16:39:00,1
2019-01-14 16:41:00,1
2019-01-14 16:59:00,1
2019-01-14 17:14:00,1
2019-01-14 17:29:00,1
2019-01-25 17:55:00,2
2019-01-25 17:57:00,3
2019-01-25 17:58:00,2
2019-01-25 17:59:00,2
2019-01-25 18:00:00,3
2019-01-25 18:01:00,1
2019-01-25 18:02:00,2
2019-01-25 18:03:00,3
2019-01-25 18:04:00,3
2019-01-25 18:05:00,3
2019-01-25 18:06:00,2
2019-01-26 13:39:00,1
2019-01-26 14:25:00,1
2019-01-26 14:50:00,2
2019-01-26 14:51:00,1
2019-01-26 14:52:00,2
2019-01-26 14:53:00,2
2019-01-26 14:54:00,2
2019-01-26 14:55:00,2
2019-01-26 14:56:00,2
2019-01-26 14:57:00,2
2019-01-26 14:58:00,1
2019-01-26 14:59:00,2
2019-01-26 15:00:00,2
2019-01-26 15:01:00,1
2019-01-26 15:02:00,2
2019-01-28 11:01:00,1
2019-01-28 13:36:00,1
2019-03-14 07:36:00,1
2019-04-11 10:12:00,1
2019-04-30 16:55:00,1
2019-04-30 19:00:00,1
2019-04-30 19:03:00,1
2019-04-30 19:06:00,2
2019-04-30 19:07:00,1
2019-04-30 19:10:00,2
2019-04-30 19:13:00,1
2019-04-30 19:29:00,1
2019-06-26 13:08:00,1
2019-07-09 06:15:00,1
2019-08-10 20:47:00,1
2019-08-16 15:28:00,1
2019-09-16 16:16:00,1
2019-10-23 11:22:00,1
2019-10-23 11:25:00,1
2019-10-23 11:30:00,1
2019-10-24 15:28:00,1
2019-11-28 16:48:00,1
2019-11-28 16:49:00,1
