878,"SELECT TOP # passive.fiberid as fiberID, passive.ra, passive.dec, passive.z as z_noqso, passive.zerr as z_noqso_err, passive.logmass as passive_logmass, starforming.logmass as starforming_logmass, pca.mstellar_median as pca_logmass FROM stellarMassPassivePort AS passive JOIN stellarMassStarformingPort AS starforming ON passive.specobjid = starforming.specobjid JOIN stellarMassPCAWisc AS pca ON passive.specobjid = pca.specobjid WHERE passive.plate = # AND passive.mjd = # AND pca.warning = #"
2019-01-01 10:04:00,1
2019-01-01 11:08:00,1
2019-01-02 00:19:00,1
2019-01-02 00:48:00,1
2019-01-02 01:55:00,1
2019-01-03 11:17:00,1
2019-01-03 17:49:00,1
2019-01-04 12:17:00,1
2019-01-05 09:20:00,1
2019-01-05 18:16:00,1
2019-01-06 08:00:00,1
2019-01-06 12:41:00,1
2019-01-07 00:10:00,1
2019-01-07 23:31:00,1
2019-01-08 02:07:00,1
2019-01-08 03:29:00,1
2019-01-08 04:29:00,1
2019-01-08 06:27:00,1
2019-01-08 06:53:00,1
2019-01-08 07:28:00,1
2019-01-08 08:41:00,1
2019-01-08 17:31:00,1
2019-01-10 02:39:00,1
2019-01-10 14:30:00,1
2019-01-10 22:46:00,1
2019-01-11 04:43:00,1
2019-01-12 03:14:00,1
2019-01-13 00:44:00,1
2019-01-13 08:30:00,1
2019-01-13 09:10:00,1
2019-01-13 10:25:00,1
2019-01-14 11:44:00,1
2019-01-19 02:57:00,1
2019-01-19 17:01:00,1
2019-01-19 20:47:00,1
2019-01-20 13:38:00,1
2019-01-22 00:51:00,1
2019-01-22 08:27:00,1
2019-01-22 09:04:00,1
2019-01-22 15:28:00,1
2019-01-22 21:04:00,1
2019-01-23 22:10:00,1
2019-01-23 23:26:00,1
2019-01-24 13:47:00,1
2019-01-25 15:57:00,1
2019-01-25 17:47:00,1
2019-01-26 13:32:00,1
2019-01-26 22:35:00,1
2019-01-27 16:28:00,1
2019-01-27 22:45:00,1
2019-01-28 16:10:00,1
2019-01-28 16:12:00,1
2019-01-28 18:10:00,1
2019-01-29 03:49:00,1
2019-01-30 09:30:00,1
2019-01-30 13:54:00,1
2019-01-30 18:37:00,1
2019-01-30 18:38:00,4
2019-01-31 00:46:00,1
2019-01-31 20:22:00,1
2019-02-01 12:27:00,1
2019-02-01 21:43:00,1
2019-02-01 22:22:00,1
2019-02-01 23:38:00,1
2019-02-02 13:03:00,1
2019-02-02 15:45:00,1
2019-02-03 16:25:00,1
2019-02-04 06:59:00,1
2019-02-04 13:40:00,1
2019-02-04 14:11:00,1
2019-02-04 14:42:00,1
2019-02-07 04:53:00,1
2019-02-08 01:32:00,1
2019-02-08 05:19:00,1
2019-02-08 15:50:00,1
2019-02-08 18:12:00,1
2019-02-08 22:18:00,1
2019-02-09 17:34:00,1
2019-02-10 00:59:00,1
2019-02-10 05:53:00,1
2019-02-10 09:43:00,1
2019-02-11 11:14:00,1
2019-02-11 22:22:00,1
2019-02-12 05:23:00,1
2019-02-12 17:29:00,1
2019-02-12 19:50:00,1
2019-02-12 19:56:00,1
