648,SELECT * FROM MyTable
2019-03-05 06:16:00,1
2019-03-05 06:47:00,1
2019-03-05 06:50:00,1
2019-03-05 07:39:00,1
2019-03-05 10:21:00,1
2019-03-05 10:37:00,1
2019-03-05 10:39:00,1
2019-03-05 11:17:00,1
2019-03-07 08:04:00,1
2019-03-07 10:22:00,1
2019-03-11 12:48:00,1
2019-03-11 13:23:00,1
2019-03-11 14:00:00,1
2019-03-12 13:56:00,1
2019-03-13 02:23:00,1
2019-03-13 08:25:00,1
2019-03-13 11:42:00,1
2019-03-13 11:43:00,1
2019-03-13 11:52:00,1
2019-03-13 12:11:00,1
2019-03-13 14:02:00,1
2019-03-13 15:33:00,1
2019-03-13 15:34:00,1
2019-03-14 14:24:00,1
2019-03-14 14:42:00,2
2019-03-14 14:51:00,1
2019-03-14 15:06:00,1
2019-03-14 15:45:00,1
2019-03-14 15:51:00,1
2019-03-14 15:55:00,1
2019-03-14 16:04:00,1
2019-03-14 16:08:00,1
2019-03-14 16:12:00,1
2019-03-14 16:19:00,1
2019-03-14 16:23:00,1
2019-03-14 16:31:00,1
2019-03-14 16:38:00,1
2019-03-14 16:43:00,1
2019-03-14 16:47:00,1
2019-03-14 16:57:00,1
2019-03-14 17:01:00,1
2019-03-14 17:06:00,1
2019-03-14 17:12:00,1
2019-03-14 17:16:00,1
2019-03-14 17:20:00,1
2019-03-14 17:24:00,1
2019-03-14 17:27:00,1
2019-03-14 17:32:00,1
2019-03-14 17:49:00,1
2019-03-14 17:54:00,1
2019-03-14 17:59:00,1
2019-03-14 18:02:00,1
2019-03-14 18:06:00,1
2019-03-14 18:10:00,1
2019-03-14 18:16:00,1
2019-03-14 18:25:00,1
2019-03-16 19:18:00,1
2019-03-19 10:01:00,1
2019-03-19 10:04:00,1
2019-03-20 09:45:00,1
2019-03-21 07:54:00,1
2019-03-21 07:55:00,1
2019-03-22 04:47:00,1
2019-03-22 14:52:00,1
2019-03-22 14:53:00,1
2019-03-22 14:56:00,1
2019-03-25 09:34:00,1
2019-03-25 12:07:00,2
2019-03-25 12:10:00,2
2019-03-26 02:34:00,2
2019-03-26 10:48:00,1
2019-03-26 17:32:00,1
2019-03-27 08:02:00,1
2019-03-27 10:28:00,1
2019-03-29 13:13:00,1
2019-03-29 13:43:00,1
2019-03-29 14:06:00,1
2019-03-29 15:05:00,1
2019-03-29 15:17:00,1
2019-04-01 10:16:00,1
2019-04-01 10:23:00,1
2019-04-01 11:57:00,1
2019-04-02 02:16:00,2
2019-04-02 04:06:00,1
2019-04-02 04:07:00,1
2019-04-02 06:21:00,1
2019-04-02 10:23:00,1
2019-04-02 14:46:00,1
2019-04-02 19:04:00,1
2019-04-03 05:27:00,1
2019-04-05 11:05:00,1
2019-04-05 17:12:00,1
2019-04-05 17:29:00,1
2019-04-08 05:40:00,1
2019-04-10 01:41:00,1
2019-04-13 02:05:00,1
2019-04-13 06:51:00,1
2019-04-13 06:52:00,1
2019-04-13 07:52:00,1
2019-04-13 12:30:00,1
2019-04-13 12:32:00,1
2019-04-13 12:42:00,1
2019-04-16 00:03:00,1
2019-04-16 01:36:00,1
2019-04-16 01:37:00,1
2019-04-18 09:27:00,1
2019-04-18 09:45:00,1
2019-04-19 06:43:00,1
2019-04-24 06:10:00,1
2019-04-24 11:47:00,1
2019-04-26 05:47:00,1
2019-04-26 05:48:00,1
2019-04-28 11:14:00,2
2019-04-29 06:19:00,2
2019-04-29 06:20:00,2
2019-04-29 14:21:00,1
