81,"SELECT g.objid, g.ra, g.dec, g.petroMag_r, s.z, s.zErr, g.type, s.sourceType FROM Galaxy AS g JOIN SpecObj AS s ON s.bestobjid = g.objid, fGetNearbyObjEq (#, #, #) AS n WHERE g.objID = n.objID"
2019-08-12 21:12:00,1
2019-08-20 03:45:00,1
2019-08-20 03:53:00,1
2019-08-20 03:59:00,2
2019-08-20 04:54:00,1
2019-08-20 05:13:00,1
2019-08-20 05:28:00,1
2019-08-20 05:29:00,1
2019-08-20 05:38:00,12
2019-08-20 05:39:00,7
2019-08-20 05:44:00,28
2019-08-20 05:46:00,24
2019-08-20 08:41:00,1
