3,"SELECT TOP # p.objid, p.obj, p.type, p.ra AS ra, p.dec as dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.type = # AND p.i BETWEEN # AND #"
2019-05-30 02:28:00,1
2019-05-30 02:34:00,1
2019-05-30 21:32:00,1
