2,"SELECT TOP # p.objid, p.ra, p.dec, p.cModelMag_g, p.cModelMag_r, p.cModelMag_i, fracDeV_r, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND p.fracDev_r < # AND p.cModelMag_r Between # AND # AND s.z < #"
2019-02-16 13:47:00,1
2019-02-16 13:48:00,1
