2,"SELECT TOP # p.ra, p.dec, p.g, p.r, p.i, p.z FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-05-15 02:48:00,1
2019-05-18 16:36:00,1
