2,"SELECT p.objid, p.ra, p.dec, p.g, p.r, p.i, p.type, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-10-24 08:45:00,1
2019-10-24 08:52:00,1
