35,"SELECT distinct s.SpecObjID, L_OII.ew, L_OII.ewErr, L_OII.continuum, L_Ha.ew, L_Ha.ewErr, L_Ha.continuum FROM SpecObjAll AS s JOIN SpecLine AS L_OII ON L_OII.SpecObjID = s.SpecObjID JOIN PhotoObj AS p ON p.SpecObjID = s.SpecObjID JOIN SpecLine AS L_Ha ON L_Ha.SpecObjID = s.SpecObjID WHERE s.z > # and s.specclass = # and L_OII.lineID = # and L_Ha.lineID = # and p.ra between # and #"
2019-01-25 09:16:00,1
2019-01-25 09:18:00,1
2019-01-25 09:21:00,1
2019-01-25 09:22:00,2
2019-01-25 09:23:00,1
2019-01-25 09:24:00,2
2019-01-25 09:25:00,1
2019-01-25 09:26:00,2
2019-01-25 09:27:00,1
2019-01-25 09:28:00,1
2019-01-25 09:29:00,1
2019-01-25 09:30:00,3
2019-01-25 09:31:00,1
2019-01-25 09:32:00,1
2019-01-25 09:33:00,2
2019-01-25 09:35:00,2
2019-01-25 09:37:00,1
2019-01-25 09:38:00,1
2019-01-25 09:39:00,2
2019-01-25 09:40:00,2
2019-01-25 09:41:00,2
2019-01-25 09:42:00,2
2019-01-25 09:43:00,1
2019-01-25 09:44:00,1
