24762,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq (#, #, #) N where P.objID = N.objID"
2019-01-03 15:37:00,1
2019-01-03 15:38:00,1
2019-01-06 13:22:00,1
2019-01-06 13:23:00,1
2019-01-06 13:24:00,1
2019-01-06 16:06:00,1
2019-01-06 16:07:00,1
2019-01-06 16:09:00,1
2019-01-09 18:37:00,1
2019-01-09 18:39:00,1
2019-01-09 19:41:00,1
2019-01-09 19:43:00,1
2019-01-09 19:45:00,1
2019-01-09 19:46:00,1
2019-01-10 06:29:00,2
2019-01-10 14:46:00,1
2019-01-11 14:05:00,1
2019-01-12 14:57:00,1
2019-01-12 14:58:00,1
2019-01-14 03:02:00,1
2019-01-14 03:03:00,1
2019-01-14 03:04:00,2
2019-01-14 03:05:00,2
2019-01-14 15:38:00,4
2019-01-14 15:39:00,5
2019-01-14 15:40:00,6
2019-01-14 15:41:00,5
2019-01-14 15:42:00,4
2019-01-14 15:43:00,4
2019-01-14 15:44:00,6
2019-01-14 15:45:00,3
2019-01-14 15:46:00,4
2019-01-14 15:47:00,4
2019-01-15 11:20:00,1
2019-01-15 14:20:00,1
2019-01-16 13:10:00,1
2019-01-16 13:11:00,2
2019-01-16 20:54:00,1
2019-01-16 20:55:00,1
2019-01-16 20:56:00,3
2019-01-16 20:57:00,1
2019-01-17 17:50:00,2
2019-01-17 18:20:00,2
2019-01-17 18:21:00,3
2019-01-17 18:22:00,2
2019-01-23 19:30:00,1
2019-01-25 13:10:00,1
2019-01-25 13:11:00,1
2019-01-27 09:43:00,1
2019-01-27 09:44:00,3
2019-01-28 08:37:00,1
2019-01-28 08:38:00,1
2019-02-05 10:51:00,1
2019-02-05 14:26:00,1
2019-02-05 14:27:00,11
2019-02-05 14:28:00,10
2019-02-05 14:29:00,5
2019-02-05 15:49:00,1
2019-02-06 21:25:00,3
2019-02-06 21:26:00,3
2019-02-06 21:27:00,5
2019-02-06 21:28:00,3
2019-02-06 21:29:00,4
2019-02-06 21:30:00,4
2019-02-06 21:31:00,4
2019-02-06 21:32:00,4
2019-02-06 21:33:00,2
2019-02-06 21:48:00,3
2019-02-06 21:50:00,1
