2,"SELECT p.ra, p.dec, p.psfmag_r, p.extinction_r FROM PhotoPrimary p WHERE p.dec BETWEEN # AND # AND p.ra BETWEEN # AND # AND p.type = #"
2019-12-08 11:30:00,1
2019-12-08 11:32:00,1
