3,"select p.objid, p.ra, p.dec, p.l, p.b, p.dered_u, p.dered_g, p.dered_r into mydb.Orphan_SDSS_STARs from fGetObjFromRect (#, #, #, #) n, star p where (p.dered_g BETWEEN # AND #) and (p.dered_u-p.dered_g > #) and (p.dered_g-p.dered_r BETWEEN # AND #) and (n.objid = p.objid)"
2019-12-09 16:21:00,2
2019-12-10 13:48:00,1
