3,"SELECT ra, dec, u, g, r, i, z FROM PhotoObj Where ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-05-24 22:32:00,1
2019-05-24 22:34:00,1
2019-05-24 22:35:00,1
