8,SELECT * FROM R1#_galaxy_photo
2019-02-19 00:41:00,1
2019-02-19 10:01:00,1
2019-02-19 10:36:00,1
2019-02-19 11:05:00,1
2019-03-24 15:03:00,1
2019-03-24 15:41:00,1
2019-03-24 17:11:00,1
2019-03-24 17:37:00,1
