2,"select ra, dec, z , modelmag_u-modelmag_r , modelmag_r-modelmag_z modelMag_i, modelMag_z, objID from photoObj where type = # AND modelmag_u-modelmag_r > # AND modelmag_r-modelmag_z < # AND modelmag_u- modelmag_r > # + # * modelmag_r-modelmag_z"
2019-04-30 04:46:00,1
2019-04-30 04:48:00,1
