10,"SELECT p.ra, p.dec, p.modelMag_r FROM galaxy AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.modelMag_r< #"
2019-08-17 02:43:00,1
2019-08-17 02:51:00,1
2019-08-17 02:52:00,2
2019-08-17 03:25:00,1
2019-08-17 03:35:00,1
2019-08-17 03:37:00,1
2019-08-17 03:38:00,1
2019-08-17 03:39:00,1
2019-08-17 03:43:00,1
